nagpra_notice_institution_id,document_number,institution_seq,institution_name,institution_city,institution_state,publication_date,notice_type,institution_basis,n_institutions_in_notice,built_date,split_artefact_suspected,split_artefact_detector,split_artefact_basis,institution_name_repaired,repair_action
94-4238#01,94-4238,1,"of Native American Human Remains from the Hawaiian Islands in the Collections of the Peabody Museum of Natural History, Yale University",,,1994-02-25,inventory_completion,title_remainder,1,2026-09-02,1,A4|A5,"A4: fragment begins with 'of', so it begins mid-sentence: 'of Native American Human Remains from the Hawaiian Islands in the Collections of the Peabo' ~~ A5: fragment still contains the possession locution 'in the Collections of the', so everything left of it is object phrase: 'of Native American Human Remains from the Hawaiian Islands in the Collections of the Peabo' ~~ repair: trimmed at the title's own possession locution 'in the Collections of the'; the remainder is a contiguous substring of the title","Peabody Museum of Natural History, Yale University",trimmed
96-10543#01,96-10543,1,"for Native American Human Remains and Associated Funerary Objects in the Possession and Control of the Santa Fe National Forest, United States Forest Service",Santa Fe,NM,1996-04-29,inventory_completion,title_remainder,1,2026-09-02,1,A4|A5,"A4: fragment begins with 'for', so it begins mid-sentence: 'for Native American Human Remains and Associated Funerary Objects in the Possession and Co' ~~ A5: fragment still contains the possession locution 'in the Possession and Control of the', so everything left of it is object phrase: 'for Native American Human Remains and Associated Funerary Objects in the Possession and Co' ~~ repair: trimmed at the title's own possession locution 'in the Possession and Control of the'; the remainder is a contiguous substring of the title","Santa Fe National Forest, United States Forest Service",trimmed
98-31350#01,98-31350,1,"for Native American Human Remains and Associated Funerary Objects in the Control and Possession of the Tulsa District, United States Army Corps of Engineers",Tulsa,OK,1998-11-24,inventory_completion,title_remainder,1,2026-09-02,1,A4|A5,"A4: fragment begins with 'for', so it begins mid-sentence: 'for Native American Human Remains and Associated Funerary Objects in the Control and Posse' ~~ A5: fragment still contains the possession locution 'in the Control and Possession of the', so everything left of it is object phrase: 'for Native American Human Remains and Associated Funerary Objects in the Control and Posse' ~~ repair: trimmed at the title's own possession locution 'in the Control and Possession of the'; the remainder is a contiguous substring of the title","Tulsa District, United States Army Corps of Engineers",trimmed
00-9295#02,00-9295,2,"Anthropology, Miami University",Oxford,OH,2000-04-14,intent_to_repatriate,title_possession,2,2026-09-02,1,A1,"A1: `, and ` fell after the bare noun 'Gerontology', which ends no institution name, and before 'Anthropology'. The title reads verbatim: ""Department of Sociology, Gerontology, and Anthropology, Miami University"" ~~ repair: absorbed into seq 1; this row is a fragment of that one institution and is RETAINED, not deleted, so the bridge row count is conserved","Department of Sociology, Gerontology, and Anthropology, Miami University",merged_absorbed
02-7009#02,02-7009,2,"Tourism, Division of Archaeology",Baton Rouge,LA,2002-03-25,inventory_completion,title_possession,2,2026-09-02,1,A1,"A1: `, and ` fell after the bare noun 'Recreation', which ends no institution name, and before 'Tourism'. The title reads verbatim: ""Louisiana Department of Culture, Recreation, and Tourism, Division of Archaeology"" ~~ repair: absorbed into seq 1; this row is a fragment of that one institution and is RETAINED, not deleted, so the bridge row count is conserved","Louisiana Department of Culture, Recreation, and Tourism, Division of Archaeology",merged_absorbed
2010-17481#03,2010-17481,3,University of Georgia,Athens,GA,2010-07-19,inventory_completion,title_colon,3,2026-09-02,1,A7,"A7: 'University of Georgia' appears once in all 7,234 rows and its tokens are a proper subset of a sibling in the same notice: 'University of West Georgia' ~~ repair: not_repaired_no_verbatim_full_name_recoverable",,none
2019-03588#02,2019-03588,2,Formerly Baylor University Museum),Waco,TX,2019-03-01,inventory_completion,title_colon,2,2026-09-02,1,A2|A4,"A2: unmatched parenthesis in 'Formerly Baylor University Museum)' - a delimiter fell inside a parenthetical ~~ A4: fragment begins with 'Formerly', so it begins mid-sentence: 'Formerly Baylor University Museum)' ~~ repair: absorbed into seq 1; retained, not deleted","Baylor University's Mayborn Museum Complex, (Formerly Baylor University's Strecker Museum; Formerly Baylor University Museum)",merged_absorbed
2021-17562#02,2021-17562,2,Formerly Baylor University Museum),Waco,TX,2021-08-17,inventory_completion,title_colon,2,2026-09-02,1,A2|A4,"A2: unmatched parenthesis in 'Formerly Baylor University Museum)' - a delimiter fell inside a parenthetical ~~ A4: fragment begins with 'Formerly', so it begins mid-sentence: 'Formerly Baylor University Museum)' ~~ repair: absorbed into seq 1; retained, not deleted","Baylor University's Mayborn Museum Complex, (Formerly Baylor University's Strecker Museum; Formerly Baylor University Museum)",merged_absorbed
2026-15503#02,2026-15503,2,"Tourism, Division of Archaeology",Baton Rouge,LA,2026-07-31,inventory_completion,title_colon,2,2026-09-02,1,A1,"A1: `, and ` fell after the bare noun 'Recreation', which ends no institution name, and before 'Tourism'. The title reads verbatim: ""Louisiana Department of Culture, Recreation, and Tourism, Division of Archaeology"" ~~ repair: absorbed into seq 1; this row is a fragment of that one institution and is RETAINED, not deleted, so the bridge row count is conserved","Louisiana Department of Culture, Recreation, and Tourism, Division of Archaeology",merged_absorbed
2026-15521#02,2026-15521,2,"Tourism, Division of Archaeology",Baton Rouge,LA,2026-07-31,inventory_completion,title_colon,2,2026-09-02,1,A1,"A1: `, and ` fell after the bare noun 'Recreation', which ends no institution name, and before 'Tourism'. The title reads verbatim: ""Louisiana Department of Culture, Recreation, and Tourism, Division of Archaeology"" ~~ repair: absorbed into seq 1; this row is a fragment of that one institution and is RETAINED, not deleted, so the bridge row count is conserved","Louisiana Department of Culture, Recreation, and Tourism, Division of Archaeology",merged_absorbed
