institution_name,institution_city,institution_state,title,publication_date,document_number,affiliated_entity_ids
"Acadia National Park, National Park Service",Bar Harbor,ME,"Notice of Inventory Completion for Native American Human Remains in the Control of Acadia National Park, National Park Service, Bar Harbor, ME",1996-04-22,96-9785,TRBF-HLTNML-00|TRBF-PNBSCT-00|TRBF-PSMQDY-00
"Connecticut State Museum of Natural History, University of Connecticut",Storrs,CT,"Notice of Intent to Repatriate Cultural Items in the Possession of the Connecticut State Museum of Natural History, University of Connecticut, Storrs, CT",1996-04-26,96-10345,TRBF-MHEGAN-00
"for Native American Human Remains and Associated Funerary Objects in the Possession and Control of the Santa Fe National Forest, United States Forest Service",Santa Fe,NM,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Possession and Control of the Santa Fe National Forest, United States Forest Service, Santa Fe, NM",1996-04-29,96-10543,TRBF-COCHTI-00|TRBF-JEMEZP-00|TRBF-NAMBEP-00|TRBF-POJOAQ-00|TRBF-SCLARA-00|TRBF-SDMNGO-00|TRBF-SFLIPE-00|TRBF-SILDFN-00|TRBF-SNJUAN-00|TRBF-STAANA-00|TRBF-TSUQUE-00|TRBF-ZIAPBL-00
"Wyoming State Office, Bureau of Land Management",Cheyenne,WY,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Control of the Wyoming State Office, Bureau of Land Management, Cheyenne, WY",1996-04-30,96-10613,TRBF-ESWNDR-00
Washington State Historical Society,Tacoma,WA,"Notice of Inventory Completion for Native American Human Remains in the possession of the Washington State Historical Society, Tacoma, WA",1996-05-02,96-10960,TRBF-PUYLLP-00
"Peabody Museum of Archaeology and Ethnology, Harvard University",Cambridge,MA,"Notice of Intent to Repatriate a Cultural Item in the Possession of the Peabody Museum of Archaeology and Ethnology, Harvard University, Cambridge, MA",1996-05-10,96-11791,TRBF-BLCKFT-00
"Burke Museum, University of Washington",Seattle,WA,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects from Prince William Sound in the Possession of the Burke Museum, University of Washington, Seattle, WA",1996-05-10,96-11793,ANRC-CHGCCO-00
"Nevada Test Site, Nevada Operations Office, Department of Energy",Las Vegas,NV,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects from Nye County, NV, in the Control of the Nevada Test Site, Nevada Operations Office, Department of Energy, Las Vegas, NV",1996-06-25,96-16091,TRBF-BGPINE-00|TRBF-BISHOP-00|TRBF-CHMHVI-00|TRBF-CORIVR-00|TRBF-DUCKWT-00|TRBF-ELYTNV-00|TRBF-FTINDP-00|TRBF-KAIBAB-00|TRBF-LNPINE-00|TRBF-LSVGAS-00|TRBF-MOAPAT-00|TRBF-PTTRUT-00|TRBF-TIMBSH-00|TRBF-UUGWTU-00|TRBF-YOMBAT-00
Colorado Springs Pioneers Museum,Colorado Springs,CO,"Notice of Inventory Completion for Native American Human Remains from Northern New Mexico in the Possession of the Colorado Springs Pioneers Museum, Colorado Springs, CO",1996-07-24,96-18606,TRBF-HOPIAZ-00|TRBF-SCLARA-00|TRBF-SNJUAN-00|TRBF-ZUNINM-00
Milwaukee Public Museum,Milwaukee,WI,"Notice of Intent to Repatriate a Cultural Item in the Possession of the Milwaukee Public Museum, Milwaukee, WI",1996-07-26,96-19066,TRBF-HOPIAZ-00
"Museum of Peoples and Cultures, Brigham Young University",Provo,UT,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects From the Havasupai Reservation, AZ in the Possession of the Museum of Peoples and Cultures, Brigham Young University, Provo, UT",1996-08-07,96-20069,TRBF-HAVASP-00
Olympic National Park,Port Angeles,WA,"Notice of Inventory Completion for Native American Human Remains in the Possession of Olympic National Park, Port Angeles, WA",1996-08-20,96-21106,TRBF-MAKAHN-00
"Alaska State Office, Bureau of Land Management",Anchorage,AK,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects from Savoonga, AK in the Control of the Alaska State Office, Bureau of Land Management, Anchorage, AK",1996-08-29,96-22115,AKNF-SAVNGA-00-BERSTR-KAWRAK
Buffalo Bill Historical Center,Cody,WY,"Notice of Intent To Repatriate a Cultural Item in the Possession of the Buffalo Bill Historical Center, Cody, WY",1996-09-06,96-22825,TRBF-BLCKFT-00
"Michigan State University Museum, Michigan State University",East Lansing,MI,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects From Bay County, MI, in the Possession of the Michigan State University Museum, Michigan State University, East Lansing, MI",1996-09-09,96-22852,TRBF-SGINAW-00
"Bent's Old Fort National Historic Site, National Park Service",La Junta,CO,"Notice of Inventory Completion for Native American Human Remains in the Possession of Bent's Old Fort National Historic Site, National Park Service, La Junta, CO",1996-09-16,96-23587,TRBF-CHYARP-00|TRBF-CMNCHE-00|TRBF-KIOWAT-00|TRBF-STHUTE-00|TRBF-UTEMTN-00
"Gila Cliff Dwellings National Monument, National Park Service",Silver City,NM,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Control of Gila Cliff Dwellings National Monument, National Park Service, Silver City, NM",1996-09-26,96-24685,TRBF-ACOMAP-00|TRBF-HOPIAZ-00|TRBF-LAGUNA-00|TRBF-ZUNINM-00
