bill_id,title,congress,chamber,sponsor,introduced_date,latest_action,policy_area,entity_names
103-hr-734,"To amend the Act entitled ""An Act to provide for the extension of certain Federal benefits, services, and assistance to the Pascua Yaqui Indians of Arizona, and for other purposes"".",103,House,"Rep. Pastor, Ed [D-AZ-2]",1993-02-02,Became Public Law No: 103-357.,Native Americans,Pascua Yaqui
103-hr-878,To restore Federal services to the Pokagon Band of Potawatomi Indians.,103,House,"Rep. Upton, Fred [R-MI-6]",1993-02-04,For Further Action See S.1066.,Native Americans,Pokagon
103-s-1066,A bill to restore Federal services to the Pokagon Band of Potawatomi Indians.,103,Senate,"Sen. Riegle, Donald W., Jr. [D-MI]",1993-05-28,Became Public Law No: 103-323.,Native Americans,Pokagon
103-s-1146,Yavapai-Prescott Indian Tribe Water Rights Settlement Act of 1994,103,Senate,"Sen. McCain, John [R-AZ]",1993-06-23,Became Public Law No: 103-434.,Native Americans,Yavapai-Prescott
103-s-1156,Catawba Indian Tribe of South Carolina Land Claims Settlement Act of 1993,103,Senate,"Sen. Hollings, Ernest F. [D-SC]",1993-06-24,Message on Senate action sent to the House.,Native Americans,Catawba
103-s-1335,A bill for the relief of the Menominee Indian Tribe of Wisconsin.,103,Senate,"Sen. Kohl, Herb [D-WI]",1993-07-30,Previous action of discharging the Committee on the Judiciary vitiated by Unanimous Consent.,Private Legislation,Menominee
103-s-1422,An act to confer jurisdiction on the United States Court of Federal Claims with respect to land claims of Pueblo of Isleta Indian Tribe.,103,Senate,"Sen. Bingaman, Jeff [D-NM]",1993-08-06,Referred to the House Committee on Judiciary.,Law,Pueblo of Isleta
103-s-1613,A bill to amend the Three Affiliated Tribes and Standing Rock Sioux Tribe Equitable Compensation Act.,103,Senate,"Sen. Conrad, Kent [D-ND]",1993-11-02,Provisions of Measure Included in H.R.3759.,Native Americans,Three Affiliated|Standing Rock
103-s-2252,Ute Indian Tax Status Act,103,Senate,"Sen. Hatch, Orrin G. [R-UT]",1994-06-30,Read twice and referred to the Committee on Finance.,Taxation,Ute
103-s-2270,"A bill to authorize the Secretary of the Interior to transfer 40 acres of land on the Northern Cheyenne Indian Reservation, Montana, to Lame Deer High School District No. 6, Rosebud County, Montana, and for other purposes.",103,Senate,"Sen. Baucus, Max [D-MT]",1994-07-01,Read twice and referred to the Committee on Indian Affairs.,Native Americans,Northern Cheyenne|Rosebud
103-sjres-213,A joint resolution to provide for the payment of fair and equitable consideration in satisfaction of the claims of certain Kaw Indians.,103,Senate,"Sen. Nickles, Don [R-OK]",1994-07-22,Read twice and referred to the Committee on Indian Affairs.,Native Americans,Kaw
104-hr-2239,Mixed-Blood Ute Indian Tax Status Act,104,House,"Rep. Orton, Bill [D-UT-3]",1995-08-04,"Executive Comment Requested from Interior, Treasury.",Taxation,Ute
104-hr-2512,Crow Creek Sioux Tribe Infrastructure Development Trust Fund Act of 1996,104,House,"Rep. Johnson, Tim [D-SD-At Large]",1995-10-19,Became Public Law No: 104-223.,Native Americans,Crow Creek
104-hr-2560,"To provide for conveyances of certain lands in Alaska to Chickaloon-Moose Creek Native Association, Inc., Ninilchik Native Association, Inc., Seldovia Native Association, Inc., Tyonek Native Corporation, and Knikatnu, Inc. under the Alaska Native Claims Settlement Act.",104,House,"Rep. Young, Don [R-AK-At Large]",1995-10-30,"Placed on the Union Calendar, Calendar No. 323.",Native Americans,"Ninilchik|Tyonek|Chickaloon Moose Creek Native Association, Inc.|Knikatnu, Inc.|Seldovia Native Association, Inc."
104-hr-2710,Hoopa Valley Reservation South Boundary Adjustment Act,104,House,"Rep. Riggs, Frank [R-CA-1]",1995-12-05,Received in the Senate and read twice and referred to the Committee on Indian Affairs.,Public Lands and Natural Resources,Hoopa
104-hr-3061,"To resolve certain conveyances under the Alaska Native Claims Settlement Act related to Cape Fox Corporation, and for other purposes.",104,House,"Rep. Young, Don [R-AK-At Large]",1996-03-12,Committee Hearings Held.,Native Americans,Cape Fox Corporation
104-hr-3068,To accept the request of the Prairie Island Indian Community to revoke their charter of incorporation issued under the Indian Reorganization Act.,104,House,"Rep. Gutknecht, Gil [R-MN-1]",1996-03-12,Became Public Law No: 104-261.,Native Americans,Prairie Island
104-hr-3595,"To make available to the Santee Sioux Tribe of Nebraska its proportionate share of funds awarded in Docket 74-A to the Sioux Indian Nation, and for other purposes.",104,House,"Rep. Barrett, Bill [R-NE-3]",1996-06-06,Subcommittee Hearings Held.,Native Americans,Santee Sioux
104-hr-3640,Torres-Martinez Desert Cahuilla Indians Claims Settlement Act,104,House,"Rep. Bono, Sonny [R-CA-44]",1996-06-13,Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 622.,Native Americans,Cahuilla|Torres Martinez
104-hr-3804,To remove the restriction on the distribution of certain revenues from the Mineral Springs parcel to certain members of the Agua Caliente Band of Cahuilla Indians.,104,House,"Rep. Bono, Sonny [R-CA-44]",1996-07-12,Received in the Senate.,Native Americans,Agua Caliente|Cahuilla
104-hr-4199,"To amend the Act entitled ""An Act to provide for the establishment of the Everglades National Park in the State of Florida and for other purposes"", approved May 30, 1934, to clarify certain rights of the Miccosukee Tribe of Indians of Florida.",104,House,"Rep. Hastings, Alcee L. [D-FL-23]",1996-09-26,Sponsor introductory remarks on measure. (CR E1750),Public Lands and Natural Resources,Miccosukee
104-hr-740,To confer jurisdiction on the United States Court of Federal Claims with respect to land claims of Pueblo of Isleta Indian Tribe.,104,House,"Rep. Skeen, Joe [R-NM-2]",1995-01-30,Became Public Law No: 104-198.,Law,Pueblo of Isleta
104-s-1807,Kake Tribal Corporation Land Exchange Act,104,Senate,"Sen. Murkowski, Frank H. [R-AK]",1996-05-23,Committee on Energy and Natural Resources. Hearings held.,Native Americans,Kake Tribal Corporation
104-s-1973,Navajo-Hopi Land Dispute Settlement Act of 1996,104,Senate,"Sen. McCain, John [R-AZ]",1996-07-18,Became Public Law No: 104-301.,Native Americans,Hopi|Navajo
