awardee_name,canonical_name,parent_name,funding_agency,setaside,fiscal_year,total_obligations,recipient_city_name,recipient_state_code,contract_number,cedar_uid
"ANALYTICAL SERVICES, INC.",Arctic Slope Regional Corporation,ARCTIC SLOPE REGIONAL CORPORATION,Dept Of Defense,None reported,2008,-1574.43,HUNTSVILLE,AL,0001,CE-00078-KR
J.O.Y Electronics Group Inc,,Joy Electronics Group,Dept Of Defense,None reported,2018,1800.0,ISLAND HEIGHTS,NJ,SPE7M518V7677,
"FEDERAL PROGRAM INTEGRATORS, LLC",Penobscot,PENOBSCOT INDIAN NATION ENTERPRISES,Dept Of Defense,8(a),2014,-477.9,INDIAN ISLAND,ME,0027,CE-0018D-TE
"ASRC FEDERAL FACILITIES LOGISTICS, LLC",,ARCTIC SLOPE REGIONAL CORPORATION,Dept Of Defense,None reported,2026,45.29,FAIRFIELD,NJ,SPE8ES26F70F3,
"ALUTIIQ 3SG, LLC",Afognak Native Corporation,AFOGNAK NATIVE CORP,Dept Of Defense,None reported,2014,55498.91,ANCHORAGE,AK,0006,CE-0007J-FJ
"MCCALLIE ASSOCIATES, INC.",Afognak Native Corporation,"MCCALLIE ASSOCIATES, INC.",Dept Of Defense,Small Business,2018,246459.54,BELLEVUE,NE,0007,CE-0007J-FJ
"ALUTIIQ GLOBAL SOLUTIONS, LLC",Afognak Native Corporation,AFOGNAK NATIVE CORP,Dept Of Defense,None reported,2010,0.0,ANCHORAGE,AK,W9124P06D0005,CE-0007J-FJ
MANCON LLC,Cherokee Nation,MANAGEMENT CONSULTING INC,Dept Of Defense,None reported,2019,9443.3,VIRGINIA BEACH,VA,N6146319FLH05,CE-00134-BX
KHOTOL SERVICES CORPORATION,"Gana-A'Yoo, Ltd.",KHOTOL SERVICES CORPORATION,Dept Of Defense,None reported,2019,24503.0,WARRENSBURG,MO,W9124819F0291,CE-0008X-PN
PERATON GOVERNMENT COMMUNICATIONS INC.,,"L3HARRIS TECHNOLOGIES, INC",Dept Of Defense,None reported,2014,18940.2,FAIRFAX,VA,4693,
"CHICKASAW HEALTH CONSULTING, LLC",The Chickasaw Nation,"CHICKASAW HEALTH CONSULTING, LLC",Centers For Disease Control And Prevention,8(a),2020,706388.9,NORMAN,OK,75D30118C01859,CE-00135-HP
"Y-TECH SERVICES, INC.",Calista Corporation,CALISTA CORP,Dept Of Defense,None reported,2019,6590.0,ANCHORAGE,AK,KY1P,CE-0007B-53
"Lapke Construction, Llc.",,Lapke Construction Llc.,Forest Service,8(a),2021,0.0,SIMMS,MT,12034318F0429,
"Govsolutions, Inc.",,Govsolutions Inc.,"Veterans Affairs, Department Of",None reported,2016,183129.453125,VIRGINIA BEACH,VA,VA24416F5063,
"Craft Manufacturing And Tooling, Inc.",,Craft Manufacturing And Tooling Inc.,Dept Of Defense,None reported,2014,-83425.0,HOT SPRINGS NATIONAL PARK,AR,SPE4A713MB822,
CADDO DESIGN INC,,CADDO DESIGN INC,Bureau Of Indian Affairs And Bureau Of Indian Education,Indian Business,2017,7837.3,DENVER,CO,INA17PX01105,
KONIAG MANAGEMENT SOLUTIONS LLC,,KONIAG MANAGEMENT SOLUTIONS LLC,U.S. Coast Guard,None reported,2023,25158.31,ANCHORAGE,AK,70Z03823FS0000027,
"DOYON PROJECT SERVICES, LLC","Doyon, Limited","DOYON, LIMITED",Dept Of Defense,None reported,2022,56947.72,FEDERAL WAY,WA,N4425520F4154,CE-0007E-QE
APACHE-LOGICAL JV,Fort Sill-Chiricahua-Warm Springs-Apache Tribe,APACHE-LOGICAL JV,National Aeronautics And Space Administration,None reported,2022,286778.6,ALBUQUERQUE,NM,80KSC022F0040,CE-0014G-RS
PETRO STAR INC.,Arctic Slope Regional Corporation,ARCTIC SLOPE REGIONAL CORPORATION,Dept Of Defense,None reported,2023,13804.0,ANCHORAGE,AK,SPE60523FRF2W,CE-00078-KR
"PACARCTIC, LLC","Koniag, Incorporated","KONIAG, INC.",Department Of State,None reported,2022,523491.93,ANCHORAGE,AK,19AQMM18F3585,CE-0007F-X7
