recipient_entity_name,payer_entity_name,commodity,revenue_type,period_start,amount_usd,aggregation_level,cedar_uid
,State of Montana,Oil and natural gas,production_tax_share,2018-04-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2018-07-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2018-10-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2019-01-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2019-04-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2019-07-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2019-10-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2020-01-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2020-04-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2020-07-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2020-10-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2021-01-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2021-04-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2021-07-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2021-10-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2022-01-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2022-04-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2022-07-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2022-10-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2023-01-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2023-04-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2023-07-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2023-10-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2024-01-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2024-04-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2024-07-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2024-10-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2025-01-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2025-04-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2025-07-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2025-10-01,0.00,state_aggregate,
,State of Montana,Oil and natural gas,production_tax_share,2026-01-01,0.00,state_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2013-10-01,1146119618.68,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2021-10-01,1124140810.56,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2022-10-01,977643348.62,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2023-10-01,939202118.59,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2012-10-01,932956397.20,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2018-10-01,883942101.49,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2019-10-01,781351473.45,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2024-10-01,758390212.51,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2017-10-01,727391170.93,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2011-10-01,717556925.10,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2020-10-01,708491319.35,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2005-10-01,641408924.60,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2014-10-01,572914270.07,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2010-10-01,538344246.90,national_aggregate,
,"United States, Office of Natural Resources Revenue",,trust_disbursement,2007-10-01,533950712.30,national_aggregate,
