business_name_raw,certifying_authority_name,programme_name,service_category_raw,city,state_province,harvest_date,business_source_id
AAA Septic Service,Cherokee Nation,Cherokee Nation TERO Directory,Aboveground Tanks-Inspection/Install/Service; Porta Potties; Septic Tank Service/Pumping/Installation; Sludge Removal,,,2026-09-01,TBD-045:2440
Building Lives by Building Structures,Hoopa Valley Tribe,Hoopa Active Business Names (tribal business licence register),Carpentry Training School,,,2026-09-01,TBD-L01:43
"Native Medical, LLC",The Chickasaw Nation,Chickasaw Business Directory,Health Care and Social Assistance,Norman,OK,2026-09-02,TBD-R01:22ef2840cb
Tholl Fence Co,Pyramid Lake Paiute Tribe,2025 Approved Business Licenses,Fencing Contractor,,,2026-09-01,TBD-M03:896e1ec580
Two Fires Boutique,Lummi Nation,Lummi Owned Businesses (LIBC business-licence report),Arts & Crafts,,,2026-09-01,TBD-052:44
AK Insulation,Menominee Indian Tribe of Wisconsin,Menominee Contractors listing,commercial and residential Insulation heating and cooling,,,2026-09-01,TBD-054:1
Ron's Electric,Navajo Nation,Navajo Business Opportunity Act source listing,SUBCONTRACTORS,Kayenta,AZ,2026-08-28,TBD-041:ron-s-electric
"The Patch Veggies and Construction, LLC",Muscogee (Creek) Nation,MCN CESO Vendor List,"Concrete-Curbs/Guttering, Concrete-Driveways, Concrete-Footing, Concrete-Pads/Flat Work, Concrete-Walls, Excavation, Fencing-Installation, Landscaping-Commercial Irrigation, Landscaping-Mowing/Trimming/Planting, Landscaping-Residenetial Irrigation, Landscaping-Sod Sales/Installation, Landscaping-Supplies, Lawn&Garden-Supplies/Sales/Service, Lawn Work-Mowing, Lawn Work-Spraying, Nursery, Tree Removal-Stump Grinding, Tree Removal-Trimming",Eufaula,OK,2026-09-01,TBD-079:298
Young's Land Management,Cherokee Nation,Cherokee Nation TERO Directory,Concrete; Construction-Commercial/General Contractor; Excavation; Fencing-Installation; Land Development-Commercial/Residential; Landscaping; Sanitary Sewer Installation; Soil Stabilization; Underground Tanks-Install/Remove/Service; Construction-Commercial Management; Construction-Residential/General Contractor; Hay Baling/Brush Hogging; Lawn Work-Mowing/Spraying; Siding; Steel-Fabrication; Waterline Installation; Construction-Metal Buildings/Framing; Sludge-Removal; Tree Removal-Stump Grinding/Trimming; Trucking-Equipment/Material Transport; Snow Removal,,,2026-09-01,TBD-045:2554
Double B Solutions,Cherokee Nation,Cherokee Nation TERO Directory,Concrete; Construction-Commercial Management; Construction-Commercial/General Contractor; Construction-Metal Buildings/Framing; Construction-Residential/General Contractor; Drywall-Finishing/Installation; Environmental & Industrial Odor Control; Environmental-Testing; Fire Restoration & Cleaning; Flooring-Installation/Sales; Insulation-Install/Remove; Power Washing-Sales/Service; Remediation-Asbestos/Survey; Remediation-Lead Base Paint Inspection/Removal; Remediation-Mold/Water; Snow Removal; Storage Building/Containers-Sales/Rentals; Water-Restoration & Extractions,,,2026-09-01,TBD-045:2933
Indigenous Unity Our Tool LLC,Confederated Tribes of Grand Ronde,TERO Indian Owned Business list,Non-Construction; Service Area: Please Contact,,,2026-08-28,TBD-032:nonconstruction:indigenous-unity-our-tool-llc
GO2 Contracting,Cherokee Nation,Cherokee Nation TERO Directory,Computer-Sales; Electronics-Sales/Service; Medical Equipment-Sales/Service/Install/Leasing; Medical-Supplies; Office-Equipment/Supplies/Leasing; Packaging-Sales/Supplies,,,2026-09-01,TBD-045:2827
"Pendergraft Enterprises, LLC",Cherokee Nation,Cherokee Nation TERO Directory,Car Wash; Extermination-Pest/Plant; Hay Baling/Brush Hogging; Landscaping; Lawn Work-Mowing/Spraying; Power Washing-Sales/Service; Windows; Tree Removal-Stump Grinding/Trimming,,,2026-09-01,TBD-045:2331
Oil & Gas Investment Evaluations,The Chickasaw Nation,Chickasaw Business Directory,Oil and Gas,Amarillo,TX,2026-09-02,TBD-R01:d6b2c9a59e
Secratt Farms,Cherokee Nation,Cherokee Nation TERO Directory,Agricultural-Equipment/Sales/Supplies/Produce; Excavation; Livestock-Buyer/Sales; Steel-Stainless Steel Fabrication; Agricultural-Tourism; Fencing-Installation; Waterline Installation; Beef-Producer; Hay Baling/Brush Hogging; Steel-Fabrication; Welding-General/Supplies/Equipment; Grants-Consulting; Snow Removal,,,2026-09-01,TBD-045:2084
