cedar_uid,name,entity_class,name_source,name_source_label,name_source_url,name_captured,name_match_route,prior_canonical_name,name_differs_from_prior
CE-000KE-KE,Citizen Potawatomi Community Development Corporation,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Citizen Potawatomi Community Development Corporation,0
CE-000KF-S7,Eagle Bank,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Eagle Bank,0
CE-000KG-Z0,F&M Bank,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,F&M Bank,0
CE-000KH-5S,"Four Bands Community Fund, Incorporated",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Four Bands Community Fund, Incorporated",0
CE-000KJ-BJ,Four Corners Federal Credit Union,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Four Corners Federal Credit Union,0
CE-000KK-HB,Four Directions Development Corporation,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Four Directions Development Corporation,0
CE-000KM-Q4,FirstBank,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,FirstBank,0
CE-000KN-XX,"First American Capital Corporation, Inc.",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"First American Capital Corporation, Inc.",0
CE-000KP-3P,First State Bank,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,First State Bank,0
CE-000KQ-9F,"FIVE RIVERS LOAN FUND, INC",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"FIVE RIVERS LOAN FUND, INC",0
CE-000KR-F8,Gateway First Bank,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Gateway First Bank,0
CE-000KS-N1,Ho-Chunk Community Capital Inc.,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Ho-Chunk Community Capital Inc.,0
CE-000KT-VT,Hopi Credit Association,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Hopi Credit Association,0
