retired_neid,cedar_uid,status
AKNF-KASAAN-00-SEALSK-TLNGHD,CE-0002K-WV,unique
AKNF-KENTZE-00-CKINLT,CE-0002M-2M,unique
AKNF-KIPNUK-00-CALSTA-ASVCPR,CE-0002N-8D,unique
AKNF-KKTOVK-00-ARCSLO,CE-0002P-E6,unique
AKNF-KLAWCK-00-SEALSK-TLNGHD,CE-0002Q-MZ,unique
AKNF-KLSKAG-00-CALSTA-ASVCPR,CE-0002R-TR,unique
AKNF-KLTIKH-00-AHTNAI-CPPRRV,CE-0002S-0H,unique
AKNF-KNGGNK-00-CALSTA-ASVCPR,CE-0002T-6A,unique
AKNF-KNGISL-00-BERSTR-KAWRAK,CE-0002V-C3,unique
AKNF-KNGSAL-00-BRBYCO-BRBYAS,CE-0002W-JW,unique
AKNF-KNIKTR-00-CKINLT,CE-0002X-RN,unique
AKNF-KOBUKV-00-NANARC-MANLLQ,CE-0002Y-YE,unique
AKNF-KOKHNK-00-BRBYCO-BRBYAS,CE-0002Z-47,unique
AKNF-KOTLIK-00-CALSTA-ASVCPR,CE-00030-FG,unique
AKNF-KOYUKK-00-DOYONL-TNNACH,CE-00031-N9,unique
AKNF-KOYUKV-00-BERSTR-KAWRAK,CE-00032-V2,unique
AKNF-KSIGLK-00-CALSTA-ASVCPR,CE-00033-1V,unique
AKNF-KTCHKN-00-SEALSK-TLNGHD,CE-00034-7M,unique
AKNF-KTZBUE-00-NANARC-MANLLQ,CE-00035-DD,unique
AKNF-KVALNA-00-NANARC-MANLLQ,CE-00036-K6,unique
AKNF-KWGLGK-00-CALSTA-ASVCPR,CE-00037-SZ,unique
AKNF-KWTHLK-00-CALSTA-ASVCPR,CE-00038-ZR,unique
AKNF-LARSBY-00-KONIAG,CE-00039-5H,unique
AKNF-LEVLCK-00-BRBYCO-BRBYAS,CE-0003A-BA,unique
AKNF-LIMEVL-00-CALSTA-ASVCPR,CE-0003B-H3,unique
AKNF-LKLSKG-00-CALSTA-ASVCPR,CE-0003C-QW,unique
AKNF-LOUDEN-00-DOYONL-TNNACH,CE-0003D-XN,unique
AKNF-MCGRTH-00-DOYONL-TNNACH,CE-0003E-3E,unique
AKNF-MEKRYK-00-CALSTA-ASVCPR,CE-0003F-97,unique
AKNF-MIGLOO-00-BERSTR-KAWRAK,CE-0003G-F0,unique
AKNF-MNLYHS-00-DOYONL-TNNACH,CE-0003H-NS,unique
AKNF-MNOKTK-00-BRBYCO-BRBYAS,CE-0003J-VJ,unique
AKNF-MNTSTA-00-AHTNAI-CPPRRV,CE-0003K-1B,unique
AKNF-MRSHLL-00-CALSTA-ASVCPR,CE-0003M-74,unique
AKNF-MTLKTL-00-TLNGHD,CE-0003N-DX,unique
AKNF-NAKNEK-00-BRBYCO-BRBYAS,CE-0003P-KP,unique
AKNF-NANWLK-00-CHGCCO-CHGCMT,CE-0003Q-SF,unique
AKNF-NAPAKK-00-CALSTA-ASVCPR,CE-0003R-Z8,unique
AKNF-NAPSKK-00-CALSTA-ASVCPR,CE-0003S-51,unique
AKNF-NENANA-00-DOYONL-TNNACH,CE-0003T-BT,unique
AKNF-NEWTOK-00-CALSTA-ASVCPR,CE-0003V-HK,unique
AKNF-NGHTMT-00-CALSTA-ASVCPR,CE-0003W-QC,unique
AKNF-NHALEN-00-BRBYCO-BRBYAS,CE-0003X-X5,unique
AKNF-NKLGNK-00-BRBYCO-BRBYAS,CE-0003Y-3Y,unique
AKNF-NKLSKI-00-ALEUTC-PRBLFA,CE-0003Z-9Q,unique
AKNF-NKOLAI-00-DOYONL-TNNACH,CE-00040-M0,unique
AKNF-NKYRMT-00-CALSTA-ASVCPR,CE-00041-TS,unique
AKNF-NLSONL-00-ALEUTC-PRBLFA,CE-00042-0J,unique
AKNF-NNDLTN-00-BRBYCO-BRBYAS,CE-00043-6B,unique
AKNF-NNLCHK-00-CKINLT,CE-00044-C4,unique
AKNF-NNMIQA-00-CALSTA-ASVCPR,CE-00045-JX,unique
AKNF-NNPTCK-00-CALSTA-ASVCPR,CE-00046-RP,unique
AKNF-NOATAK-00-NANARC-MANLLQ,CE-00047-YF,unique
AKNF-NOMECM-00-BERSTR-KAWRAK,CE-00048-48,unique
AKNF-NOORVK-00-NANARC-MANLLQ,CE-00049-A1,unique
AKNF-NPAIMT-00-CALSTA-ASVCPR,CE-0004A-GT,unique
AKNF-NRTHWY-00-DOYONL-TNNACH,CE-0004B-PK,unique
AKNF-NSTYHK-00-BRBYCO-BRBYAS,CE-0004C-WC,unique
AKNF-NUIQST-00-ARCSLO,CE-0004D-25,unique
AKNF-NULATO-00-DOYONL-TNNACH,CE-0004E-8Y,unique
AKNF-NVEKUK-00-BRBYCO-BRBYAS,CE-0004F-EQ,unique
AKNF-NVELIM-00-BERSTR-KAWRAK,CE-0004G-MG,unique
AKNF-NVEYAK-00-CHGCCO-CHGCMT,CE-0004H-T9,unique
AKNF-NVLEEK-00-CALSTA-ASVCPR,CE-0004J-02,unique
AKNF-NVRUBY-00-DOYONL-TNNACH,CE-0004K-6V,unique
AKNF-NVTNNA-00-DOYONL-TNNACH,CE-0004M-CM,unique
AKNF-NVUNGA-00-ALEUTC-PRBLFA,CE-0004N-JD,unique
