handle,cedar_uid,valid_from,valid_to,status,change_reason,recorded_date
AKNF-EGEGIK-00-BRBYCO-BRBYAS,CE-0001N-3X,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-EKLTNA-00-CKINLT,CE-0001P-9P,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-EMMNAK-00-CALSTA-ASVCPR,CE-0001Q-FF,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-EVNSVL-00-DOYONL-TNNACH,CE-0001R-N8,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-FSPASS-00-ALEUTC-PRBLFA,CE-0001S-V1,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-GAKONA-00-AHTNAI-CPPRRV,CE-0001T-1T,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-GAMBLL-00-BERSTR-KAWRAK,CE-0001V-7K,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-GEORGT-00-CALSTA-ASVCPR,CE-0001W-DC,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-GLKANA-00-AHTNAI-CPPRRV,CE-0001X-K5,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-GNWSBY-00-CALSTA-ASVCPR,CE-0001Y-SY,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-GRYLNG-00-DOYONL-TNNACH,CE-0001Z-ZQ,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-GWCHZG-00-DOYONL-CATHTG-TNNACH,CE-00020-A0,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-HAMLTN-00-CALSTA-ASVCPR,CE-00021-GS,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-HCROSS-00-DOYONL-TNNACH,CE-00022-PJ,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-HDABRG-00-SEALSK-TLNGHD,CE-00023-WB,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-HEALYL-00-DOYONL-TNNACH,CE-00024-24,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-HOONAH-00-SEALSK-TLNGHD,CE-00025-8X,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-HOOPBY-00-CALSTA-ASVCPR,CE-00026-EP,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-HUGHES-00-DOYONL-TNNACH,CE-00027-MF,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-HUSLIA-00-DOYONL-TNNACH,CE-00028-T8,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-IGIUGG-00-BRBYCO-BRBYAS,CE-00029-01,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-INALIK-00-BERSTR-KAWRAK,CE-0002A-6T,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-INPTAS-00-ARCSLO,CE-0002B-CK,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-INPTBW-00-ARCSLO,CE-0002C-JC,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-IQUGMT-00-CALSTA-ASVCPR,CE-0002D-R5,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-IVNFBY-00-BRBYCO-BRBYAS,CE-0002E-YY,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KAGUYK-00-KONIAG,CE-0002F-4Q,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KALTAG-00-DOYONL-TNNACH,CE-0002G-AG,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KANATK-00-BRBYCO-BRBYAS,CE-0002H-G9,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KARLUK-00-KONIAG,CE-0002J-P2,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KASAAN-00-SEALSK-TLNGHD,CE-0002K-WV,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KENTZE-00-CKINLT,CE-0002M-2M,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KIPNUK-00-CALSTA-ASVCPR,CE-0002N-8D,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KKTOVK-00-ARCSLO,CE-0002P-E6,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KLAWCK-00-SEALSK-TLNGHD,CE-0002Q-MZ,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KLSKAG-00-CALSTA-ASVCPR,CE-0002R-TR,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KLTIKH-00-AHTNAI-CPPRRV,CE-0002S-0H,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KNGGNK-00-CALSTA-ASVCPR,CE-0002T-6A,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KNGISL-00-BERSTR-KAWRAK,CE-0002V-C3,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KNGSAL-00-BRBYCO-BRBYAS,CE-0002W-JW,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KNIKTR-00-CKINLT,CE-0002X-RN,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KOBUKV-00-NANARC-MANLLQ,CE-0002Y-YE,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KOKHNK-00-BRBYCO-BRBYAS,CE-0002Z-47,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KOTLIK-00-CALSTA-ASVCPR,CE-00030-FG,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KOYUKK-00-DOYONL-TNNACH,CE-00031-N9,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KOYUKV-00-BERSTR-KAWRAK,CE-00032-V2,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KSIGLK-00-CALSTA-ASVCPR,CE-00033-1V,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KTCHKN-00-SEALSK-TLNGHD,CE-00034-7M,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KTZBUE-00-NANARC-MANLLQ,CE-00035-DD,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KVALNA-00-NANARC-MANLLQ,CE-00036-K6,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-KWGLGK-00-CALSTA-ASVCPR,CE-00037-SZ,2026-08-29,,current,first recorded binding,2026-08-29
