nation_id,bia_name,states,review_outcome,programs_found,documented_negative_checks,last_negative_check
bia:chilkat-klukwan,Chilkat Indian Village (Klukwan),AK,"checked, no list found",0,2,2026-08-28
bia:chilkoot-haines,Chilkoot Indian Association (Haines),AK,"checked, no list found",0,1,2026-08-28
bia:chinik,Chinik Eskimo Community (Golovin),AK,"checked, no list found",0,1,2026-08-28
bia:chippewa-cree,"Chippewa Cree Indians of the Rocky Boy’s Reservation, Montana",MT,list program(s) found,1,0,
bia:chitimacha,Chitimacha Tribe of Louisiana,LA,"checked, no list found",0,1,2026-08-27
bia:chuloonawick,Chuloonawick Native Village,AK,"checked, no list found",0,1,2026-08-28
bia:circle,Circle Native Community,AK,"checked, no list found",0,1,2026-08-28
bia:citizen-potawatomi,"Citizen Potawatomi Nation, Oklahoma",OK,list program(s) found,1,0,
bia:cloverdale,Cloverdale Rancheria of Pomo Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:cocopah,Cocopah Tribe of Arizona,AZ,"checked, no list found",0,1,2026-08-27
bia:coeur-dalene,Coeur D’Alene Tribe,ID,list program(s) found,1,0,
bia:cold-springs,Cold Springs Rancheria of Mono Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:colorado-river-indian-tribes,"Colorado River Indian Tribes of the Colorado River Indian Reservation, Arizona and California",AZ; CA,list program(s) found,1,0,
bia:comanche,"Comanche Nation, Oklahoma",OK,list program(s) found,1,0,
bia:salish-kootenai,Confederated Salish and Kootenai Tribes of the Flathead Reservation,MT,list program(s) found,1,0,
bia:yakama,Confederated Tribes and Bands of the Yakama Nation,WA,list program(s) found,1,0,
bia:siletz,Confederated Tribes of Siletz Indians of Oregon,OR,list program(s) found,1,0,
bia:chehalis,Confederated Tribes of the Chehalis Reservation,WA,list program(s) found,2,0,
bia:colville,Confederated Tribes of the Colville Reservation,WA,list program(s) found,1,0,
bia:coos-lower-umpqua-siuslaw,"Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians",OR,"checked, no list found",0,1,2026-08-27
bia:goshute,"Confederated Tribes of the Goshute Reservation, Nevada and Utah",NV; UT,"checked, no list found",0,1,2026-08-27
bia:grand-ronde,Confederated Tribes of the Grand Ronde Community of Oregon,OR,list program(s) found,1,0,
bia:umatilla,Confederated Tribes of the Umatilla Indian Reservation,OR,list program(s) found,1,0,
bia:warm-springs,Confederated Tribes of the Warm Springs Reservation of Oregon,OR,list program(s) found,1,0,
bia:coquille,Coquille Indian Tribe,OR,"checked, no list found",0,1,2026-08-27
bia:coushatta-louisiana,Coushatta Tribe of Louisiana,LA,"checked, no list found",0,1,2026-08-27
bia:cow-creek,Cow Creek Band of Umpqua Tribe of Indians,OR,"checked, no list found",0,1,2026-08-27
bia:cowlitz,Cowlitz Indian Tribe,WA,list program(s) found,1,0,
bia:coyote-valley,Coyote Valley Band of Pomo Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:craig-tribal-association,Craig Tribal Association,AK,"checked, no list found",0,1,2026-08-27
bia:crow-creek-sioux,"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota",SD,"checked, no list found",0,1,2026-08-27
bia:crow-tribe,Crow Tribe of Montana,MT,list program(s) found,1,0,
bia:curyung,Curyung Tribal Council,AK,"checked, no list found",0,1,2026-08-28
bia:delaware-nation,"Delaware Nation, Oklahoma",OK,"checked, no list found",0,1,2026-08-27
bia:delaware-tribe,Delaware Tribe of Indians,OK,"checked, no list found",0,1,2026-08-28
bia:douglas-indian-association,Douglas Indian Association,AK,"checked, no list found",0,1,2026-08-28
bia:dry-creek,"Dry Creek Rancheria Band of Pomo Indians, California",CA,"checked, no list found",0,1,2026-08-28
bia:duckwater,Duckwater Shoshone Tribe,NV,"checked, no list found",0,1,2026-08-27
bia:eastern-band-cherokee,Eastern Band of Cherokee Indians,NC,list program(s) found,1,0,
bia:eastern-shawnee,Eastern Shawnee Tribe of Oklahoma,OK,"checked, no list found",0,1,2026-08-27
bia:eastern-shoshone,"Eastern Shoshone Tribe of the Wind River Reservation, Wyoming",WY,list program(s) found,1,0,
bia:egegik,Egegik Village,AK,"checked, no list found",0,1,2026-08-28
bia:eklutna,Eklutna Native Village,AK,"checked, no list found",0,1,2026-08-28
bia:elem,"Elem Indian Colony of Pomo Indians of the Sulphur Bank Rancheria, California",CA,"checked, no list found",0,1,2026-08-28
bia:elk-valley,"Elk Valley Rancheria, California",CA,"checked, no list found",0,1,2026-08-28
bia:ely-shoshone,Ely Shoshone Tribe of Nevada,NV,"checked, no list found",0,1,2026-08-27
bia:emmonak,Emmonak Village,AK,"checked, no list found",0,1,2026-08-28
bia:enterprise-rancheria,Enterprise Rancheria of Maidu Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:evansville,Evansville Village (aka Bettles Field),AK,"checked, no list found",0,1,2026-08-28
bia:ewiiaapaayp,Ewiiaapaayp Band of Kumeyaay Indians,CA,"checked, no list found",0,1,2026-08-28
bia:graton,"Federated Indians of Graton Rancheria, California",CA,"checked, no list found",0,1,2026-08-28
bia:flandreau-santee-sioux,Flandreau Santee Sioux Tribe of South Dakota,SD,"checked, no list found",0,1,2026-08-27
bia:forest-county-potawatomi,"Forest County Potawatomi Community, Wisconsin",WI,list program(s) found,1,0,
bia:fort-belknap,Fort Belknap Indian Community of the Fort Belknap Reservation of Montana,MT,list program(s) found,1,0,
bia:fort-bidwell,Fort Bidwell Indian Community of the Fort Bidwell Reservation of California,CA,"checked, no list found",0,1,2026-08-28
bia:fort-independence,"Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California",CA,"checked, no list found",0,1,2026-08-28
bia:fort-mcdermitt,"Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon",NV; OR,"checked, no list found",0,1,2026-08-27
bia:fort-mcdowell-yavapai,"Fort McDowell Yavapai Nation, Arizona",AZ,"checked, no list found",0,1,2026-08-27
bia:fort-mojave,"Fort Mojave Indian Tribe of Arizona, California & Nevada",AZ; CA; NV,"checked, no list found",0,1,2026-08-27
bia:fort-sill-apache,Fort Sill—Chiricahua—Warm Springs—Apache Tribe,OK,"checked, no list found",0,1,2026-08-27
bia:gila-river,"Gila River Indian Community of the Gila River Indian Reservation, Arizona",AZ,list program(s) found,1,0,
bia:grand-traverse-band,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",MI,list program(s) found,1,0,
bia:greenville,Greenville Rancheria,CA,"checked, no list found",0,1,2026-08-28
bia:grindstone,Grindstone Indian Rancheria of Wintun-Wailaki Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:guidiville,Guidiville Rancheria of California,CA,"checked, no list found",0,1,2026-08-28
bia:gulkana,Gulkana Village Council,AK,"checked, no list found",0,1,2026-08-28
bia:habematolel,"Habematolel Pomo of Upper Lake, California",CA,"checked, no list found",0,1,2026-08-28
bia:hannahville,"Hannahville Indian Community, Michigan",MI,"checked, no list found",0,1,2026-08-27
bia:havasupai,"Havasupai Tribe of the Havasupai Reservation, Arizona",AZ,"checked, no list found",0,1,2026-08-27
bia:healy-lake,Healy Lake Village,AK,"checked, no list found",0,1,2026-08-28
bia:ho-chunk,Ho-Chunk Nation of Wisconsin,WI,list program(s) found,1,0,
bia:hoh,Hoh Indian Tribe,WA,"checked, no list found",0,1,2026-08-27
bia:holy-cross,Holy Cross Tribe,AK,"checked, no list found",0,1,2026-08-28
bia:hoonah,Hoonah Indian Association,AK,list program(s) found,1,0,
bia:hoopa-valley,"Hoopa Valley Tribe, California",CA,list program(s) found,2,0,
bia:hopi,Hopi Tribe of Arizona,AZ,"checked, no list found",0,1,2026-08-27
bia:hopland,"Hopland Band of Pomo Indians, California",CA,"checked, no list found",0,1,2026-08-28
bia:houlton-maliseet,Houlton Band of Maliseet Indians,ME,list program(s) found,1,0,
bia:hualapai,"Hualapai Indian Tribe of the Hualapai Indian Reservation, Arizona",AZ,"checked, no list found",0,1,2026-08-27
bia:hughes,Hughes Village,AK,"checked, no list found",0,1,2026-08-28
bia:huslia,Huslia Village,AK,"checked, no list found",0,1,2026-08-28
bia:hydaburg,Hydaburg Cooperative Association,AK,"checked, no list found",0,1,2026-08-28
bia:igiugig,Igiugig Village,AK,"checked, no list found",0,1,2026-08-28
bia:santa-ysabel,"Iipay Nation of Santa Ysabel, California",CA,"checked, no list found",0,1,2026-08-28
bia:inaja,"Inaja Band of Diegueno Mission Indians of the Inaja and Cosmit Reservation, California",CA,"checked, no list found",0,1,2026-08-28
bia:inupiat-arctic-slope,Inupiat Community of the Arctic Slope,AK,"checked, no list found",0,1,2026-08-28
bia:ione,Ione Band of Miwok Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:iowa-kansas-nebraska,Iowa Tribe of Kansas and Nebraska,KS; NE,"checked, no list found",0,1,2026-08-27
bia:iowa-tribe-oklahoma,Iowa Tribe of Oklahoma,OK,"checked, no list found",0,1,2026-08-27
bia:iqurmiut,Iqugmiut Traditional Council,AK,"checked, no list found",0,1,2026-08-28
bia:ivanof-bay,Ivanof Bay Tribe,AK,"checked, no list found",0,1,2026-08-28
bia:jackson-rancheria,Jackson Band of Miwuk Indians,CA,"checked, no list found",0,1,2026-08-28
bia:jamestown-sklallam,Jamestown S’Klallam Tribe,WA,"checked, no list found",0,1,2026-08-27
bia:jamul,Jamul Indian Village of California,CA,"checked, no list found",0,1,2026-08-28
bia:jena-choctaw,Jena Band of Choctaw Indians,LA,"checked, no list found",0,1,2026-08-27
bia:jicarilla-apache,"Jicarilla Apache Nation, New Mexico",NM,"checked, no list found",0,1,2026-08-27
bia:kaguyak,Kaguyak Village,AK,"checked, no list found",0,1,2026-08-28
bia:kaibab-paiute,"Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona",AZ,"checked, no list found",0,1,2026-08-27
bia:kaktovik,Kaktovik Village (aka Barter Island),AK,"checked, no list found",0,1,2026-08-28
bia:kalispel,Kalispel Indian Community of the Kalispel Reservation,WA,"checked, no list found",0,1,2026-08-27
bia:karuk,Karuk Tribe,CA,list program(s) found,1,0,
bia:kashia,"Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California",CA,"checked, no list found",0,1,2026-08-28
bia:kasigluk,Kasigluk Traditional Elders Council,AK,"checked, no list found",0,1,2026-08-28
bia:kaw-nation,"Kaw Nation, Oklahoma",OK,"checked, no list found",0,1,2026-08-28
bia:kenaitze,Kenaitze Indian Tribe,AK,list program(s) found,1,0,
bia:ketchikan-indian-community,Ketchikan Indian Community,AK,"checked, no list found",0,1,2026-08-27
bia:keweenaw-bay,"Keweenaw Bay Indian Community, Michigan",MI,list program(s) found,1,0,
bia:kialegee,Kialegee Tribal Town,OK,"checked, no list found",0,1,2026-08-28
bia:kickapoo-texas,Kickapoo Traditional Tribe of Texas,TX,"checked, no list found",0,1,2026-08-28
bia:kickapoo-kansas,Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas,KS,"checked, no list found",0,1,2026-08-27
bia:kickapoo-oklahoma,Kickapoo Tribe of Oklahoma,OK,"checked, no list found",0,1,2026-08-27
bia:king-island,King Island Native Community,AK,"checked, no list found",0,2,2026-08-28
bia:king-salmon,King Salmon Tribe,AK,"checked, no list found",0,1,2026-08-28
bia:kiowa,Kiowa Tribe,OK,list program(s) found,1,0,
bia:klamath,Klamath Tribes,OR,list program(s) found,1,0,
bia:klawock,Klawock Cooperative Association,AK,"checked, no list found",0,1,2026-08-28
bia:kletsel-dehe,Kletsel Dehe Wintun Nation of the Cortina Rancheria,CA,"checked, no list found",0,1,2026-08-28
bia:knik,Knik Tribe,AK,"checked, no list found",0,1,2026-08-27
bia:koi-nation,Koi Nation of Northern California,CA,"checked, no list found",0,1,2026-08-28
bia:kokhanok,Kokhanok Village,AK,"checked, no list found",0,1,2026-08-28
bia:kootenai-idaho,Kootenai Tribe of Idaho,ID,"checked, no list found",0,1,2026-08-27
bia:koyukuk,Koyukuk Native Village,AK,"checked, no list found",0,1,2026-08-28
bia:la-jolla,"La Jolla Band of Luiseno Indians, California",CA,"checked, no list found",0,1,2026-08-28
bia:la-posta,"La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California",CA,"checked, no list found",0,1,2026-08-28
bia:lac-courte-oreilles,Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,WI,"checked, no list found",0,1,2026-08-27
bia:lac-vieux-desert,Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan,MI,"checked, no list found",0,1,2026-08-27
bia:lac-du-flambeau,Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,WI,"checked, no list found",0,1,2026-08-27
bia:las-vegas-paiute,"Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada",NV,"checked, no list found",0,1,2026-08-27
bia:levelock,Levelock Village,AK,"checked, no list found",0,1,2026-08-28
bia:lime-village,Lime Village,AK,"checked, no list found",0,1,2026-08-28
bia:little-river-ottawa,"Little River Band of Ottawa Indians, Michigan",MI,"checked, no list found",0,1,2026-08-28
bia:little-shell,Little Shell Tribe of Chippewa Indians of Montana,MT,"checked, no list found",0,1,2026-08-27
bia:little-traverse-bay-bands,"Little Traverse Bay Bands of Odawa Indians, Michigan",MI,list program(s) found,1,0,
bia:lone-pine,Lone Pine Paiute-Shoshone Tribe,CA,"checked, no list found",0,1,2026-08-28
bia:los-coyotes,"Los Coyotes Band of Cahuilla and Cupeno Indians, California",CA,"checked, no list found",0,1,2026-08-28
bia:louden,Louden Tribe,AK,"checked, no list found",0,1,2026-08-28
bia:lovelock,"Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada",NV,"checked, no list found",0,1,2026-08-28
bia:lower-brule,"Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota",SD,"checked, no list found",0,1,2026-08-27
bia:lower-elwha,Lower Elwha Tribal Community,WA,"checked, no list found",0,1,2026-08-27
bia:lower-sioux,Lower Sioux Indian Community in the State of Minnesota,MN,"checked, no list found",0,1,2026-08-28
bia:lumbee,Lumbee Tribe of North Carolina,NC,list program(s) found,1,0,
bia:lummi,Lummi Tribe of the Lummi Reservation,WA,list program(s) found,1,0,
bia:lytton,Lytton Rancheria of California,CA,"checked, no list found",0,1,2026-08-28
