nation_id,bia_name,states,review_outcome,programs_found,documented_negative_checks,last_negative_check
bia:marshall,Native Village of Marshall (aka Fortuna Ledge),AK,"checked, no list found",0,1,2026-08-28
bia:marys-igloo,Native Village of Mary’s Igloo,AK,"checked, no list found",0,1,2026-08-28
bia:mekoryuk,Native Village of Mekoryuk,AK,"checked, no list found",0,1,2026-08-28
bia:minto,Native Village of Minto,AK,"checked, no list found",0,1,2026-08-28
bia:nanwalek,Native Village of Nanwalek (aka English Bay),AK,"checked, no list found",0,1,2026-08-28
bia:napaimute,Native Village of Napaimute,AK,"checked, no list found",0,1,2026-08-28
bia:napakiak,Native Village of Napakiak,AK,"checked, no list found",0,1,2026-08-28
bia:napaskiak,Native Village of Napaskiak,AK,"checked, no list found",0,1,2026-08-28
bia:nelson-lagoon,Native Village of Nelson Lagoon,AK,"checked, no list found",0,1,2026-08-28
bia:nightmute,Native Village of Nightmute,AK,"checked, no list found",0,1,2026-08-28
bia:nikolski,Native Village of Nikolski,AK,"checked, no list found",0,1,2026-08-28
bia:noatak,Native Village of Noatak,AK,"checked, no list found",0,1,2026-08-28
bia:nuiqsut,Native Village of Nuiqsut (aka Nooiksut),AK,"checked, no list found",0,1,2026-08-28
bia:nunam-iqua,Native Village of Nunam Iqua,AK,"checked, no list found",0,1,2026-08-28
bia:nunapitchuk,Native Village of Nunapitchuk,AK,"checked, no list found",0,1,2026-08-28
bia:ouzinkie,Native Village of Ouzinkie,AK,"checked, no list found",0,1,2026-08-28
bia:paimiut,Native Village of Paimiut,AK,"checked, no list found",0,1,2026-08-28
bia:perryville,Native Village of Perryville,AK,"checked, no list found",0,1,2026-08-28
bia:pilot-point,Native Village of Pilot Point,AK,"checked, no list found",0,1,2026-08-28
bia:point-hope,Native Village of Point Hope,AK,"checked, no list found",0,1,2026-08-28
bia:point-lay,Native Village of Point Lay,AK,"checked, no list found",0,1,2026-08-28
bia:port-graham,Native Village of Port Graham,AK,"checked, no list found",0,1,2026-08-28
bia:port-heiden,Native Village of Port Heiden,AK,"checked, no list found",0,1,2026-08-28
bia:port-lions,Native Village of Port Lions,AK,"checked, no list found",0,1,2026-08-28
bia:ruby,Native Village of Ruby,AK,"checked, no list found",0,1,2026-08-28
bia:saint-michael,Native Village of Saint Michael,AK,"checked, no list found",0,1,2026-08-28
bia:savoonga,Native Village of Savoonga,AK,"checked, no list found",0,1,2026-08-28
bia:scammon-bay,Native Village of Scammon Bay,AK,"checked, no list found",0,1,2026-08-28
bia:selawik,Native Village of Selawik,AK,"checked, no list found",0,1,2026-08-28
bia:shaktoolik,Native Village of Shaktoolik,AK,"checked, no list found",0,1,2026-08-28
bia:shishmaref,Native Village of Shishmaref,AK,"checked, no list found",0,1,2026-08-28
bia:shungnak,Native Village of Shungnak,AK,"checked, no list found",0,1,2026-08-28
bia:south-naknek,Native Village of South Naknek,AK,"checked, no list found",0,1,2026-08-28
bia:stevens-village,Native Village of Stevens,AK,"checked, no list found",0,1,2026-08-28
bia:tanacross,Native Village of Tanacross,AK,"checked, no list found",0,1,2026-08-28
bia:tanana,Native Village of Tanana,AK,"checked, no list found",0,1,2026-08-28
bia:tatitlek,Native Village of Tatitlek,AK,"checked, no list found",0,1,2026-08-28
bia:tazlina,Native Village of Tazlina,AK,"checked, no list found",0,1,2026-08-28
bia:teller,Native Village of Teller,AK,"checked, no list found",0,1,2026-08-28
bia:tetlin,Native Village of Tetlin,AK,"checked, no list found",0,1,2026-08-28
bia:tuntutuliak,Native Village of Tuntutuliak,AK,"checked, no list found",0,1,2026-08-28
bia:tununak,Native Village of Tununak,AK,"checked, no list found",0,1,2026-08-28
bia:tyonek,Native Village of Tyonek,AK,"checked, no list found",0,1,2026-08-28
bia:unalakleet,Native Village of Unalakleet,AK,"checked, no list found",0,1,2026-08-28
bia:unga,Native Village of Unga,AK,"checked, no list found",0,1,2026-08-28
bia:venetie,Native Village of Venetie Tribal Government (Arctic Village and Village of Venetie),AK,"checked, no list found",0,1,2026-08-28
bia:wales,Native Village of Wales,AK,"checked, no list found",0,1,2026-08-28
bia:white-mountain-ak,Native Village of White Mountain,AK,"checked, no list found",0,1,2026-08-28
bia:navajo-nation,"Navajo Nation, Arizona, New Mexico, & Utah",AZ; NM; UT,list program(s) found,1,0,
bia:nenana,Nenana Native Association,AK,"checked, no list found",0,1,2026-08-28
bia:new-koliganek,New Koliganek Village Council,AK,"checked, no list found",0,1,2026-08-28
bia:new-stuyahok,New Stuyahok Village,AK,"checked, no list found",0,1,2026-08-28
bia:newhalen,Newhalen Village,AK,"checked, no list found",0,1,2026-08-28
bia:newtok,Newtok Village,AK,"checked, no list found",0,1,2026-08-28
bia:nez-perce,Nez Perce Tribe,ID,list program(s) found,2,0,
bia:nikolai,Nikolai Village,AK,"checked, no list found",0,1,2026-08-28
bia:ninilchik,Ninilchik Village,AK,"checked, no list found",0,1,2026-08-28
bia:nisqually,Nisqually Indian Tribe,WA,list program(s) found,2,0,
bia:nome-eskimo,Nome Eskimo Community,AK,"checked, no list found",0,1,2026-08-27
bia:nondalton,Nondalton Tribe,AK,"checked, no list found",0,1,2026-08-28
bia:nooksack,Nooksack Indian Tribe,WA,"checked, no list found",0,1,2026-08-27
bia:noorvik,Noorvik Native Community,AK,"checked, no list found",0,1,2026-08-28
bia:northern-arapaho,"Northern Arapaho Tribe of the Wind River Reservation, Wyoming",WY,list program(s) found,1,0,
bia:northern-cheyenne,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",MT,list program(s) found,1,0,
bia:northfork,Northfork Rancheria of Mono Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:northway,Northway Village,AK,"checked, no list found",0,1,2026-08-28
bia:nw-shoshone,Northwestern Band of the Shoshone Nation,UT; ID,"checked, no list found",0,1,2026-08-27
bia:nottawaseppi-huron,"Nottawaseppi Huron Band of the Potawatomi, Michigan",MI,"checked, no list found",0,1,2026-08-27
bia:nulato,Nulato Village,AK,"checked, no list found",0,1,2026-08-28
bia:nunakauyarmiut,Nunakauyarmiut Tribe,AK,"checked, no list found",0,1,2026-08-28
bia:oglala-sioux,Oglala Sioux Tribe,SD,list program(s) found,1,0,
bia:ohkay-owingeh,"Ohkay Owingeh, New Mexico",NM,"checked, no list found",0,2,2026-08-28
bia:omaha-tribe,Omaha Tribe of Nebraska,NE,list program(s) found,1,0,
bia:oneida-indian-nation,Oneida Indian Nation,NY,"checked, no list found",0,1,2026-08-27
bia:oneida-nation-wi,Oneida Nation,WI,list program(s) found,2,0,
bia:onondaga,Onondaga Nation,NY,"checked, no list found",0,1,2026-08-27
bia:grayling,Organized Village of Grayling (aka Holikachuk),AK,"checked, no list found",0,1,2026-08-28
bia:kake,Organized Village of Kake,AK,"checked, no list found",0,1,2026-08-28
bia:kasaan,Organized Village of Kasaan,AK,"checked, no list found",0,1,2026-08-28
bia:kwethluk,Organized Village of Kwethluk,AK,"checked, no list found",0,1,2026-08-28
bia:saxman,Organized Village of Saxman,AK,"checked, no list found",0,1,2026-08-28
bia:orutsararmiut,Orutsararmiut Traditional Native Council,AK,"checked, no list found",0,1,2026-08-28
bia:oscarville,Oscarville Traditional Village,AK,"checked, no list found",0,1,2026-08-28
bia:otoe-missouria,"Otoe-Missouria Tribe of Indians, Oklahoma",OK,list program(s) found,1,0,
bia:ottawa-tribe-oklahoma,Ottawa Tribe of Oklahoma,OK,"checked, no list found",0,1,2026-08-28
bia:paiute-utah,"Paiute Indian Tribe of Utah (Cedar Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes)",UT,"checked, no list found",0,1,2026-08-27
bia:fallon-paiute-shoshone,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",NV,list program(s) found,1,0,
bia:pala,Pala Band of Mission Indians,CA,"checked, no list found",0,1,2026-08-27
bia:pamunkey,Pamunkey Indian Tribe,VA,list program(s) found,1,0,
bia:pascua-yaqui,Pascua Yaqui Tribe of Arizona,AZ,list program(s) found,1,0,
bia:paskenta,Paskenta Band of Nomlaki Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:passamaquoddy,Passamaquoddy Tribe,ME,"checked, no list found",0,1,2026-08-27
bia:pauloff-harbor,Pauloff Harbor Village,AK,"checked, no list found",0,1,2026-08-28
bia:pauma,"Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California",CA,"checked, no list found",0,1,2026-08-28
bia:pawnee-nation,Pawnee Nation of Oklahoma,OK,list program(s) found,1,0,
bia:pechanga,Pechanga Band of Indians,CA,"checked, no list found",0,1,2026-08-27
bia:pedro-bay,Pedro Bay Village,AK,"checked, no list found",0,1,2026-08-28
bia:penobscot,Penobscot Nation,ME,list program(s) found,1,0,
bia:peoria,Peoria Tribe of Indians of Oklahoma,OK,"checked, no list found",0,1,2026-08-28
bia:petersburg-indian-association,Petersburg Indian Association,AK,"checked, no list found",0,1,2026-08-28
bia:picayune,Picayune Rancheria of Chukchansi Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:pilot-station,Pilot Station Traditional Village,AK,"checked, no list found",0,1,2026-08-28
bia:pinoleville,"Pinoleville Pomo Nation, California",CA,"checked, no list found",0,1,2026-08-28
bia:pit-river,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",CA,"checked, no list found",0,1,2026-08-28
bia:pitkas-point,Pitka’s Point Traditional Council,AK,"checked, no list found",0,1,2026-08-28
bia:platinum,Platinum Traditional Village,AK,"checked, no list found",0,1,2026-08-28
bia:poarch-band,Poarch Band of Creek Indians,AL,list program(s) found,1,0,
bia:pokagon-band,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",MI; IN,list program(s) found,1,0,
bia:ponca-oklahoma,Ponca Tribe of Indians of Oklahoma,OK,"checked, no list found",0,1,2026-08-27
bia:ponca-nebraska,Ponca Tribe of Nebraska,NE,"checked, no list found",0,1,2026-08-27
bia:port-gamble-sklallam,Port Gamble S’Klallam Tribe,WA,"checked, no list found",0,1,2026-08-27
bia:portage-creek,Portage Creek Village (aka Ohgsenakale),AK,"checked, no list found",0,1,2026-08-28
bia:potter-valley,"Potter Valley Tribe, California",CA,"checked, no list found",0,1,2026-08-28
bia:prairie-band-potawatomi,Prairie Band Potawatomi Nation,KS,"checked, no list found",0,1,2026-08-27
bia:prairie-island,Prairie Island Indian Community in the State of Minnesota,MN,list program(s) found,1,0,
bia:acoma,"Pueblo of Acoma, New Mexico",NM,"checked, no list found",0,1,2026-08-27
bia:cochiti,"Pueblo of Cochiti, New Mexico",NM,"checked, no list found",0,1,2026-08-27
bia:isleta,"Pueblo of Isleta, New Mexico",NM,"checked, no list found",0,1,2026-08-27
bia:jemez,"Pueblo of Jemez, New Mexico",NM,list program(s) found,1,0,
bia:pueblo-of-laguna,"Pueblo of Laguna, New Mexico",NM,list program(s) found,1,0,
bia:nambe,"Pueblo of Nambe, New Mexico",NM,"checked, no list found",0,1,2026-08-27
bia:picuris,"Pueblo of Picuris, New Mexico",NM,"checked, no list found",0,1,2026-08-27
bia:pojoaque,"Pueblo of Pojoaque, New Mexico",NM,list program(s) found,1,0,
bia:san-felipe,"Pueblo of San Felipe, New Mexico",NM,list program(s) found,1,0,
bia:san-ildefonso,"Pueblo of San Ildefonso, New Mexico",NM,list program(s) found,1,2,2026-08-28
bia:sandia,"Pueblo of Sandia, New Mexico",NM,"checked, no list found",0,1,2026-08-27
bia:santa-ana-pueblo,"Pueblo of Santa Ana, New Mexico",NM,"checked, no list found",0,1,2026-08-27
bia:santa-clara-pueblo,"Pueblo of Santa Clara, New Mexico",NM,"checked, no list found",0,1,2026-08-27
bia:taos-pueblo,"Pueblo of Taos, New Mexico",NM,"checked, no list found",0,2,2026-08-28
bia:tesuque,"Pueblo of Tesuque, New Mexico",NM,"checked, no list found",0,1,2026-08-27
bia:zia,"Pueblo of Zia, New Mexico",NM,"checked, no list found",0,1,2026-08-27
bia:pulikla,Pulikla Tribe of Yurok People,CA,"checked, no list found",0,1,2026-08-28
bia:puyallup,Puyallup Tribe of the Puyallup Reservation,WA,list program(s) found,1,0,
bia:pyramid-lake-paiute,"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada",NV,list program(s) found,3,0,
bia:qagan-tayagungin,Qagan Tayagungin Tribe of Sand Point,AK,"checked, no list found",0,1,2026-08-28
bia:qawalangin,Qawalangin Tribe of Unalaska,AK,"checked, no list found",0,1,2026-08-28
bia:quapaw,Quapaw Nation,OK,list program(s) found,1,0,
bia:quartz-valley,Quartz Valley Indian Community of the Quartz Valley Reservation of California,CA,"checked, no list found",0,1,2026-08-28
bia:quechan,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",CA; AZ,"checked, no list found",0,1,2026-08-27
bia:quileute,Quileute Tribe of the Quileute Reservation,WA,"checked, no list found",0,1,2026-08-27
bia:quinault,Quinault Indian Nation,WA,list program(s) found,1,0,
bia:ramona,"Ramona Band of Cahuilla, California",CA,"checked, no list found",0,1,2026-08-28
bia:rampart,Rampart Village,AK,"checked, no list found",0,1,2026-08-28
bia:rappahannock,"Rappahannock Tribe, Inc.",VA,"checked, no list found",0,1,2026-08-28
bia:red-cliff-chippewa,Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,WI,list program(s) found,1,0,
bia:red-lake,"Red Lake Band of Chippewa Indians, Minnesota",MN,list program(s) found,1,0,
bia:redding-rancheria,"Redding Rancheria, California",CA,"checked, no list found",0,1,2026-08-27
bia:redwood-valley,Redwood Valley or Little River Band of Pomo Indians of the Redwood Valley Rancheria California,CA,"checked, no list found",0,1,2026-08-28
bia:reno-sparks,"Reno-Sparks Indian Colony, Nevada",NV,"checked, no list found",0,1,2026-08-27
bia:rincon,Rincon Band of Luiseno Indians,CA,"checked, no list found",0,1,2026-08-27
bia:robinson-rancheria,Robinson Rancheria,CA,"checked, no list found",0,1,2026-08-28
bia:rosebud-sioux,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota",SD,list program(s) found,1,0,
bia:round-valley,"Round Valley Indian Tribes, Round Valley Reservation, California",CA,"checked, no list found",0,1,2026-08-27
bia:sac-fox-missouri,Sac & Fox Nation of Missouri in Kansas and Nebraska,KS; NE,"checked, no list found",0,1,2026-08-27
bia:sac-and-fox-nation,"Sac & Fox Nation, Oklahoma",OK,"checked, no list found",0,2,2026-08-28
bia:meskwaki,Sac & Fox Tribe of the Mississippi in Iowa,IA,"checked, no list found",0,1,2026-08-28
bia:saginaw-chippewa,Saginaw Chippewa Indian Tribe of Michigan,MI,"checked, no list found",0,1,2026-08-28
bia:saint-regis-mohawk,Saint Regis Mohawk Tribe,NY,list program(s) found,1,0,
bia:salamatoff,Salamatof Tribe,AK,"checked, no list found",0,1,2026-08-28
bia:salt-river-pima-maricopa,"Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona",AZ,list program(s) found,1,0,
bia:samish,Samish Indian Nation,WA,"checked, no list found",0,1,2026-08-28
bia:san-carlos-apache,"San Carlos Apache Tribe of the San Carlos Reservation, Arizona",AZ,list program(s) found,1,0,
bia:san-juan-southern-paiute,San Juan Southern Paiute Tribe of Arizona,AZ,"checked, no list found",0,1,2026-08-28
bia:san-pasqual,San Pasqual Band of Diegueno Mission Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:santa-rosa-cahuilla,"Santa Rosa Band of Cahuilla Indians, California",CA,"checked, no list found",0,2,2026-08-28
bia:santa-rosa-rancheria,"Santa Rosa Indian Community of the Santa Rosa Rancheria, California",CA,"checked, no list found",0,1,2026-08-28
bia:santa-ynez-chumash,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",CA,"checked, no list found",0,1,2026-08-27
bia:santee-sioux,"Santee Sioux Nation, Nebraska",NE,"checked, no list found",0,2,2026-08-28
bia:santo-domingo,Santo Domingo Pueblo,NM,"checked, no list found",0,1,2026-08-27
bia:sauk-suiattle,Sauk-Suiattle Indian Tribe,WA,"checked, no list found",0,1,2026-08-28
bia:sault-ste-marie,"Sault Ste. Marie Tribe of Chippewa Indians, Michigan",MI,list program(s) found,2,0,
bia:scotts-valley,Scotts Valley Band of Pomo Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:seldovia,Seldovia Village Tribe,AK,"checked, no list found",0,1,2026-08-27
bia:seminole-florida,Seminole Tribe of Florida,FL,"checked, no list found",0,1,2026-08-27
bia:seneca-nation,Seneca Nation of Indians,NY,"checked, no list found",0,1,2026-08-27
bia:seneca-cayuga,Seneca–Cayuga Nation,OK,"checked, no list found",0,1,2026-08-28
bia:shageluk,Shageluk Native Village,AK,"checked, no list found",0,1,2026-08-28
bia:shakopee,Shakopee Mdewakanton Sioux Community of Minnesota,MN,"checked, no list found",0,1,2026-08-28
bia:shawnee-tribe,Shawnee Tribe,OK,"checked, no list found",0,1,2026-08-27
bia:sherwood-valley,Sherwood Valley Rancheria of Pomo Indians of California,CA,"checked, no list found",0,1,2026-08-28
bia:shingle-springs,"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California",CA,"checked, no list found",0,1,2026-08-28
bia:shinnecock,Shinnecock Indian Nation,NY,"checked, no list found",0,1,2026-08-27
bia:shoalwater-bay,Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation,WA,list program(s) found,1,1,2026-08-27
bia:shoshone-bannock,Shoshone-Bannock Tribes of the Fort Hall Reservation,ID,list program(s) found,1,0,
bia:duck-valley,"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",NV; ID,list program(s) found,1,0,
bia:sisseton-wahpeton-oyate,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",SD,list program(s) found,1,0,
bia:sitka-tribe,Sitka Tribe of Alaska,AK,"checked, no list found",0,1,2026-08-27
bia:skagway,Skagway Village,AK,"checked, no list found",0,1,2026-08-28
bia:skokomish,Skokomish Indian Tribe,WA,list program(s) found,1,1,2026-08-27
bia:skull-valley-goshute,Skull Valley Band of Goshute Indians of Utah,UT,"checked, no list found",0,1,2026-08-28
bia:snoqualmie,Snoqualmie Indian Tribe,WA,list program(s) found,1,0,
bia:soboba,"Soboba Band of Luiseno Indians, California",CA,"checked, no list found",0,1,2026-08-27
bia:sokaogon,"Sokaogon Chippewa Community, Wisconsin",WI,"checked, no list found",0,1,2026-08-27
bia:southern-ute,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado",CO,list program(s) found,1,0,
bia:spirit-lake,"Spirit Lake Tribe, North Dakota",ND,list program(s) found,1,0,
bia:spokane,Spokane Tribe of the Spokane Reservation,WA,list program(s) found,1,0,
bia:squaxin-island,Squaxin Island Tribe of the Squaxin Island Reservation,WA,list program(s) found,2,0,
bia:st-croix-chippewa,St. Croix Chippewa Indians of Wisconsin,WI,"checked, no list found",0,1,2026-08-27
bia:saint-george,St. George Island,AK,"checked, no list found",0,1,2026-08-28
bia:standing-rock-sioux,Standing Rock Sioux Tribe of North & South Dakota,ND; SD,list program(s) found,1,0,
bia:stebbins,Stebbins Community Association,AK,"checked, no list found",0,1,2026-08-28
bia:stillaguamish,Stillaguamish Tribe of Indians of Washington,WA,"checked, no list found",0,1,2026-08-27
bia:stockbridge-munsee,"Stockbridge Munsee Community, Wisconsin",WI,"checked, no list found",0,1,2026-08-27
bia:summit-lake,Summit Lake Paiute Tribe of Nevada,NV,"checked, no list found",0,1,2026-08-28
bia:sunaq,Sun’aq Tribe of Kodiak,AK,"checked, no list found",0,1,2026-08-28
bia:suquamish,Suquamish Indian Tribe of the Port Madison Reservation,WA,"checked, no list found",0,1,2026-08-27
bia:susanville,"Susanville Indian Rancheria, California",CA,"checked, no list found",0,1,2026-08-27
bia:swinomish,Swinomish Indian Tribal Community,WA,list program(s) found,2,0,
bia:sycuan,Sycuan Band of the Kumeyaay Nation,CA,"checked, no list found",0,1,2026-08-27
bia:table-mountain,Table Mountain Rancheria,CA,"checked, no list found",0,1,2026-08-27
bia:takotna,Takotna Village,AK,"checked, no list found",0,1,2026-08-28
bia:tangirnaq,Tangirnaq Native Village,AK,"checked, no list found",0,1,2026-08-28
bia:te-moak,Te-Moak Tribe of Western Shoshone Indians of Nevada (Four constituent bands: Battle Mountain Band; Elko Band; South Fork Band; and Wells Band),NV,"checked, no list found",0,1,2026-08-27
bia:tejon,Tejon Indian Tribe,CA,"checked, no list found",0,1,2026-08-28
bia:telida,Telida Village,AK,"checked, no list found",0,1,2026-08-28
bia:chickasaw-nation,The Chickasaw Nation,OK,list program(s) found,1,0,
bia:choctaw-nation-oklahoma,The Choctaw Nation of Oklahoma,OK,list program(s) found,1,0,
bia:muscogee-creek-nation,The Muscogee (Creek) Nation,OK,list program(s) found,1,0,
bia:osage-nation,The Osage Nation,OK,list program(s) found,2,0,
bia:seminole-nation-oklahoma,The Seminole Nation of Oklahoma,OK,list program(s) found,1,0,
bia:thlopthlocco,Thlopthlocco Tribal Town,OK,"checked, no list found",0,1,2026-08-28
bia:three-affiliated-tribes,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",ND,list program(s) found,1,0,
bia:timbisha,Timbisha Shoshone Tribe,CA; NV,"checked, no list found",0,1,2026-08-28
bia:tohono-oodham,Tohono O’odham Nation of Arizona,AZ,list program(s) found,1,0,
bia:tolowa-dee-ni,Tolowa Dee-ni’ Nation,CA,list program(s) found,1,0,
bia:tonawanda-seneca,Tonawanda Band of Seneca,NY,"checked, no list found",0,1,2026-08-27
bia:tonkawa,Tonkawa Tribe of Indians of Oklahoma,OK,"checked, no list found",0,1,2026-08-27
bia:tonto-apache,Tonto Apache Tribe of Arizona,AZ,"checked, no list found",0,1,2026-08-27
bia:torres-martinez,"Torres Martinez Desert Cahuilla Indians, California",CA,"checked, no list found",0,1,2026-08-27
bia:togiak,Traditional Village of Togiak,AK,"checked, no list found",0,1,2026-08-28
bia:tulalip-tribes,Tulalip Tribes of Washington,WA,list program(s) found,1,0,
bia:tule-river,"Tule River Indian Tribe of the Tule River Reservation, California",CA,"checked, no list found",0,1,2026-08-27
bia:tuluksak,Tuluksak Native Community,AK,"checked, no list found",0,1,2026-08-28
bia:tunica-biloxi,Tunica-Biloxi Indian Tribe,LA,"checked, no list found",0,1,2026-08-27
bia:tuolumne,Tuolumne Band of Me-Wuk Indians of the Tuolumne Rancheria of California,CA,"checked, no list found",0,1,2026-08-28
bia:turtle-mountain-chippewa,Turtle Mountain Band of Chippewa Indians of North Dakota,ND,list program(s) found,1,0,
bia:tuscarora,Tuscarora Nation,NY,"checked, no list found",0,1,2026-08-27
bia:twenty-nine-palms,Twenty-Nine Palms Band of Mission Indians of California,CA,"checked, no list found",0,1,2026-08-27
bia:twin-hills,Twin Hills Village,AK,"checked, no list found",0,1,2026-08-28
bia:ugashik,Ugashik Village,AK,"checked, no list found",0,1,2026-08-28
bia:umkumiute,Umkumiut Native Village,AK,"checked, no list found",0,1,2026-08-28
bia:united-auburn,United Auburn Indian Community of the Auburn Rancheria of California,CA,"checked, no list found",0,1,2026-08-28
bia:united-keetoowah,United Keetoowah Band of Cherokee Indians in Oklahoma,OK,"checked, no list found",0,1,2026-08-27
bia:upper-mattaponi,Upper Mattaponi Tribe,VA,"checked, no list found",0,1,2026-08-28
bia:upper-sioux,"Upper Sioux Community, Minnesota",MN,"checked, no list found",0,1,2026-08-28
bia:upper-skagit,Upper Skagit Indian Tribe,WA,"checked, no list found",0,1,2026-08-27
bia:ute-indian-tribe,"Ute Indian Tribe of the Uintah & Ouray Reservation, Utah",UT,list program(s) found,1,0,
bia:ute-mountain-ute,Ute Mountain Ute Tribe,CO; NM; UT,list program(s) found,1,0,
bia:utu-utu-gwaitu,"Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California",CA,"checked, no list found",0,1,2026-08-28
bia:viejas,"Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California",CA,"checked, no list found",0,1,2026-08-27
bia:alakanuk,Village of Alakanuk,AK,"checked, no list found",0,1,2026-08-28
bia:anaktuvuk-pass,Village of Anaktuvuk Pass,AK,"checked, no list found",0,1,2026-08-28
bia:aniak,Village of Aniak,AK,"checked, no list found",0,1,2026-08-28
bia:atmautluak,Village of Atmautluak,AK,"checked, no list found",0,1,2026-08-28
bia:bill-moores-slough,Village of Bill Moore’s Slough,AK,"checked, no list found",0,1,2026-08-28
bia:chefornak,Village of Chefornak,AK,"checked, no list found",0,1,2026-08-28
bia:clarks-point,Village of Clarks Point,AK,"checked, no list found",0,1,2026-08-28
bia:crooked-creek,Village of Crooked Creek,AK,"checked, no list found",0,1,2026-08-28
bia:dot-lake,Village of Dot Lake,AK,"checked, no list found",0,1,2026-08-28
bia:iliamna,Village of Iliamna,AK,"checked, no list found",0,1,2026-08-28
bia:kalskag,Village of Kalskag,AK,"checked, no list found",0,1,2026-08-28
bia:kaltag,Village of Kaltag,AK,"checked, no list found",0,1,2026-08-28
bia:kotlik,Village of Kotlik,AK,"checked, no list found",0,1,2026-08-28
bia:lower-kalskag,Village of Lower Kalskag,AK,"checked, no list found",0,1,2026-08-28
bia:ohogamiut,Village of Ohogamiut,AK,"checked, no list found",0,1,2026-08-28
bia:red-devil,Village of Red Devil,AK,"checked, no list found",0,1,2026-08-28
bia:sleetmute,Village of Sleetmute,AK,"checked, no list found",0,1,2026-08-28
bia:solomon,Village of Solomon,AK,"checked, no list found",0,1,2026-08-28
bia:stony-river,Village of Stony River,AK,"checked, no list found",0,1,2026-08-28
bia:wainwright,Village of Wainwright,AK,"checked, no list found",0,1,2026-08-28
bia:walker-river,"Walker River Paiute Tribe of the Walker River Reservation, Nevada",NV,"checked, no list found",0,1,2026-08-27
bia:wampanoag-aquinnah,Wampanoag Tribe of Gay Head (Aquinnah),MA,list program(s) found,1,0,
bia:washoe,"Washoe Tribe of Nevada & California (Carson Colony, Dresslerville Colony, Woodfords Community, Stewart Community, & Washoe Ranches)",NV; CA,"checked, no list found",0,1,2026-08-27
bia:white-mountain-apache,"White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",AZ,"checked, no list found",0,1,2026-08-27
bia:wichita-affiliated,"Wichita and Affiliated Tribes (Wichita, Keechi, Waco, & Tawakonie), Oklahoma",OK,list program(s) found,1,0,
bia:wilton,"Wilton Rancheria, California",CA,"checked, no list found",0,1,2026-08-28
bia:winnebago-nebraska,Winnebago Tribe of Nebraska,NE,"checked, no list found",0,1,2026-08-27
bia:winnemucca-colony,Winnemucca Indian Colony of Nevada,NV,"checked, no list found",0,1,2026-08-28
bia:wiyot,"Wiyot Tribe, California",CA,"checked, no list found",0,2,2026-08-28
bia:wrangell,Wrangell Cooperative Association,AK,"checked, no list found",0,1,2026-08-28
bia:wyandotte,Wyandotte Nation,OK,"checked, no list found",0,1,2026-08-27
bia:yakutat,Yakutat Tlingit Tribe,AK,"checked, no list found",0,1,2026-08-28
bia:yankton-sioux,Yankton Sioux Tribe of South Dakota,SD,"checked, no list found",0,1,2026-08-27
bia:yavapai-apache,"Yavapai-Apache Nation of the Camp Verde Indian Reservation, Arizona",AZ,list program(s) found,1,0,
bia:yavapai-prescott,Yavapai-Prescott Indian Tribe,AZ,"checked, no list found",0,1,2026-08-27
bia:yerington,"Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada",NV,"checked, no list found",0,1,2026-08-27
bia:yocha-dehe,"Yocha Dehe Wintun Nation, California",CA,"checked, no list found",0,1,2026-08-28
bia:yomba,"Yomba Shoshone Tribe of the Yomba Reservation, Nevada",NV,"checked, no list found",0,1,2026-08-28
bia:ysleta-del-sur,Ysleta del Sur Pueblo,TX,"checked, no list found",0,1,2026-08-27
