contract_number,parent_contract_number,fiscal_year,pre_2000_flag,awardee_name,awardee_uei,cage_code,parent_name,parent_uei,total_obligations,total_award_value,total_obligations_real2025,total_award_value_real2025,deflator_factor_2025,inflation_base_year,setaside,reported_8a,reported_buy_indian,reported_indian_business,reported_native_preference,setaside_reported,extent_competed,funding_agency,sector,supersector,defense,recipient_city_name,recipient_state_code,place_of_perform_city,place_of_perform_state,canonical_name,attribution_method,confidence_tier,attributed_flag,source_authority,built_date,ruling_status,ruling_applied_date,extent_competed_normalized,extent_competed_normalized_basis,cedar_uid,owner_attribution_status,owner_as_of_transaction_cedar_uid,contract_transaction_unique_key,contract_award_unique_key,naics_code,naics_description,action_date,award_type,product_or_service_code,product_or_service_code_description,award_base_description,award_attributes_basis,identifier_ruling_method,identifier_ruling_tier,identifier_ruling_quarantined,identifier_ruling_basis,identifier_ruling_review,geo_recipient_county_fips,geo_recipient_county_name,geo_recipient_state_fips,geo_recipient_place_dominance_share,geo_recipient_place_ambiguous,geo_pop_county_fips,geo_pop_county_name,geo_pop_state_fips,geo_pop_place_dominance_share,geo_pop_place_ambiguous,geo_key_tier,geo_key_basis,geo_award_unique_key,geo_built_date
W911KB23F0106,W911KB22D0005,2023,0,"DOWL, LLC",DDG7TNTEKLJ5,0S6X0,NANA REGIONAL CORPORATION INC,KW9NCQ8W64S4,0.0,54180.0,0.0,57096.83,1.053836,2025,None reported,0,0,0,0,0,FULL AND OPEN COMPETITION,U.S. Army Corps Of Engineers - Civil Program Financing Only,54,Professional & Business Services,0,ANCHORAGE,AK,FAIRBANKS,AK,"NANA (NANA Regional Corporation, Inc.)",uei_exact,A,1,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,RULED_ATTRIBUTED,2026-09-03,FULL AND OPEN COMPETITION,DAIMS-DEC v2.2 ExtentCompeted | https://files.usaspending.gov/docs/Data_Dictionary_Crosswalk.xlsx | LABEL_AS_RECORDED,CE-0007G-30,UNKNOWN_OUTSIDE_EVIDENCE,UNKNOWN,9700_9700_W911KB23F0106_P00001_W911KB22D0005_0,CONT_AWD_W911KB23F0106_9700_W911KB22D0005_9700,541370,SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,2023-09-29,DELIVERY ORDER,R404,SUPPORT- PROFESSIONAL: LAND SURVEYS-CADASTRAL (NON-CONSTRUCTION),ADDED SCOPE OF WORK (SOW) TO TASK ORDER.,"naics/action_date/award_type: usaspending_award_archive_20260806 filtered extract, transaction grain | psc/description: award not present in the local gapfill corpus - genuine re-pull; archive_repull_1085_2026-09-02",agent_research_two_leg,A,N,UEI:DDG7TNTEKLJ5,,02020,ANCHORAGE,02,0.998937,1,02090,FAIRBANKS NORTH STAR,02,1.000000,0,derived_place_modal,modal county of this row's own city+state in geo_place_county_crosswalk.csv,CONT_AWD_W911KB23F0106_9700_W911KB22D0005_9700,2026-09-02
1145PC23F0692,GS35F0073T,2023,0,"DIGITALIBIZ, LLC",TLJNK2BY7SD7,35YW0,"DIGITALIBIZ, LLC",TLJNK2BY7SD7,1689203.0,1689203.0,1780142.93,1780142.93,1.053836,2025,None reported,0,0,0,0,0,FULL AND OPEN COMPETITION,Peace Corps,54,Professional & Business Services,0,ROCKVILLE,MD,WASHINGTON,DC,The Chickasaw Nation,uei_exact,B,1,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,RULED_ATTRIBUTED,2026-09-03,FULL AND OPEN COMPETITION,DAIMS-DEC v2.2 ExtentCompeted | https://files.usaspending.gov/docs/Data_Dictionary_Crosswalk.xlsx | LABEL_AS_RECORDED,CE-00135-HP,NOT_EVALUATED,UNKNOWN,1145_4730_1145PC23F0692_0_GS35F0073T_0,CONT_AWD_1145PC23F0692_1145_GS35F0073T_4730,541519,OTHER COMPUTER RELATED SERVICES,2023-09-28,DELIVERY ORDER,DF01,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),IT INFRASTRUCTURE SUPPORT SERVICES BRIDGE,"naics/action_date/award_type: usaspending_award_archive_20260806 filtered extract, transaction grain | psc/description: award not present in the local gapfill corpus - genuine re-pull; archive_repull_1085_2026-09-02",agent_research_one_leg,B,N,UEI:TLJNK2BY7SD7,,24031,MONTGOMERY,24,0.998712,1,11001,DISTRICT OF COLUMBIA,11,0.998965,1,derived_place_modal,modal county of this row's own city+state in geo_place_county_crosswalk.csv,CONT_AWD_1145PC23F0692_1145_GS35F0073T_4730,2026-09-02
68HE0723F0148,68HE0118D0016,2023,0,OCH JV,JGYBC6JQM8D3,73Z43,ONEIDA NATION,QX91C7GZDJS5,1229648.97,1229648.97,1295848.35,1295848.35,1.053836,2025,None reported,0,0,0,0,0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,Environmental Protection Agency,56,Professional & Business Services,0,MILWAUKEE,WI,BAINBRIDGE ISLAND,WA,Oneida Nation,uei_exact,B,1,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,RULED_ATTRIBUTED,2026-09-03,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,DAIMS-DEC v2.2 ExtentCompeted | https://files.usaspending.gov/docs/Data_Dictionary_Crosswalk.xlsx | LABEL_AS_RECORDED,CE-0017Y-V7,CONFIRMED_AS_OF,CE-0017Y-V7,6800_6800_68HE0723F0148_0_68HE0118D0016_0,CONT_AWD_68HE0723F0148_6800_68HE0118D0016_6800,562910,REMEDIATION SERVICES,2023-09-28,DELIVERY ORDER,F108,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,R10 ESO: WYCKOFF/EAGLE HARBOR SUPERFUND SITE REMEDIAL ACTIVITIES TECHNICAL SUPPORT,"naics/action_date/award_type: usaspending_award_archive_20260806 filtered extract, transaction grain | psc/description: award not present in the local gapfill corpus - genuine re-pull; archive_repull_1085_2026-09-02",agent_research_one_leg,B,N,UEI:JGYBC6JQM8D3,,55079,MILWAUKEE,55,0.964694,1,53035,KITSAP,53,0.897436,1,derived_place_modal,modal county of this row's own city+state in geo_place_county_crosswalk.csv,CONT_AWD_68HE0723F0148_6800_68HE0118D0016_6800,2026-09-02
W912EF23F0020,W912EF20D0003,2023,0,NEZ PERCE TRIBE,N6M5CKJT8G71,1T6Y2,NEZ PERCE TRIBE,N6M5CKJT8G71,60653.81,60653.81,63919.17,63919.17,1.053836,2025,None reported,0,0,0,0,0,NOT AVAILABLE FOR COMPETITION,U.S. Army Corps Of Engineers - Civil Program Financing Only,54,Professional & Business Services,0,LAPWAI,ID,WALLA WALLA,WA,Nez Perce Tribe,uei_exact,A,1,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,RULED_ATTRIBUTED,2026-09-03,NOT AVAILABLE FOR COMPETITION,DAIMS-DEC v2.2 ExtentCompeted | https://files.usaspending.gov/docs/Data_Dictionary_Crosswalk.xlsx | LABEL_AS_RECORDED,CE-0017H-D2,NOT_EVALUATED,UNKNOWN,9700_9700_W912EF23F0020_0_W912EF20D0003_0,CONT_AWD_W912EF23F0020_9700_W912EF20D0003_9700,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",2023-09-27,DELIVERY ORDER,R427,SUPPORT- PROFESSIONAL: WEATHER REPORTING/OBSERVATION,NWW - NEZ PERCE CONSULTATION SERVICES - WAWAAWII,"naics/action_date/award_type: usaspending_award_archive_20260806 filtered extract, transaction grain | psc/description: award not present in the local gapfill corpus - genuine re-pull; archive_repull_1085_2026-09-02",hand,A,N,UEI:N6M5CKJT8G71,,16069,NEZ PERCE,16,0.991684,1,53071,WALLA WALLA,53,0.836066,1,derived_place_modal,modal county of this row's own city+state in geo_place_county_crosswalk.csv,CONT_AWD_W912EF23F0020_9700_W912EF20D0003_9700,2026-09-02
FA890321F1071,FA890316D0055,2023,0,"FPM REMEDIATIONS, INC.",UFDQZ3V1Q477,3LNB7,OLGOONIK CORPORATION,R9JCCCG5ETB6,2444405.22,5412907.2,2576002.22,5704316.47,1.053836,2025,None reported,0,0,0,0,0,FULL AND OPEN COMPETITION,Dept Of Defense,56,Professional & Business Services,1,ONEIDA,NY,MYRTLE BEACH,SC,Olgoonik Corporation,uei_exact,B,1,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,RULED_ATTRIBUTED,2026-09-03,FULL AND OPEN COMPETITION,DAIMS-DEC v2.2 ExtentCompeted | https://files.usaspending.gov/docs/Data_Dictionary_Crosswalk.xlsx | LABEL_AS_RECORDED,CE-000B8-7R,CONFIRMED_AS_OF,CE-000B8-7R,9700_9700_FA890321F1071_P00002_FA890316D0055_0,CONT_AWD_FA890321F1071_9700_FA890316D0055_9700,562910,REMEDIATION SERVICES,2023-09-22,DELIVERY ORDER,R499,SUPPORT- PROFESSIONAL: OTHER,"RESOURCE CONSERVATION AND RECOVERY ACT FACILITY INVESTIGATION AND RESPONSE ACTIONS AT FORMER MYRTLE BEACH AIR FORCE BASE, SOUTH CAROLINA","naics/action_date/award_type: usaspending_award_archive_20260806 filtered extract, transaction grain | psc/description: award not present in the local gapfill corpus - genuine re-pull; archive_repull_1085_2026-09-02",agent_research_one_leg,B,N,UEI:UFDQZ3V1Q477,,36053,MADISON,36,0.996564,1,45051,HORRY,45,0.565854,1,derived_place_modal,modal county of this row's own city+state in geo_place_county_crosswalk.csv,CONT_AWD_FA890321F1071_9700_FA890316D0055_9700,2026-09-02
692M1521F00001,DTFAWA10A00007,2023,0,"DIGITALIBIZ, LLC",TLJNK2BY7SD7,35YW0,"DIGITALIBIZ, LLC",TLJNK2BY7SD7,0.0,7789333.7,0.0,8208680.27,1.053836,2025,Small Business,0,0,0,0,1,COMPETED UNDER SAP,Federal Aviation Administration,54,Professional & Business Services,0,ROCKVILLE,MD,ATLANTIC CITY,NJ,The Chickasaw Nation,uei_exact,B,1,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,RULED_ATTRIBUTED,2026-09-03,COMPETED UNDER SAP,DAIMS-DEC v2.2 ExtentCompeted | https://files.usaspending.gov/docs/Data_Dictionary_Crosswalk.xlsx | LABEL_AS_RECORDED,CE-00135-HP,NOT_EVALUATED,UNKNOWN,6920_6920_692M1521F00001_P00014_DTFAWA10A00007_0,CONT_AWD_692M1521F00001_6920_DTFAWA10A00007_6920,541330,ENGINEERING SERVICES,2023-03-13,BPA CALL,R499,SUPPORT- PROFESSIONAL: OTHER,EN ROUTE AND OCEANIC INTEGRATION AND INTEROPERABILITY FACILITIES (EOIIF) SUPPORT SERVICES,"naics/action_date/award_type: usaspending_award_archive_20260806 filtered extract, transaction grain | psc/description: award not present in the local gapfill corpus - genuine re-pull; archive_repull_1085_2026-09-02",agent_research_one_leg,B,N,UEI:TLJNK2BY7SD7,,24031,MONTGOMERY,24,0.998712,1,34001,ATLANTIC,34,0.994350,1,derived_place_modal,modal county of this row's own city+state in geo_place_county_crosswalk.csv,CONT_AWD_692M1521F00001_6920_DTFAWA10A00007_6920,2026-09-02
140L0623F0157,140L0622A0006,2023,0,"VISTRONIX, LLC",XPRKVQ956WB4,1CXP0,ARCTIC SLOPE REGIONAL CORPORATION,CY16XXPHX213,433946.0,5587748.83,457307.92,5888570.88,1.053836,2025,None reported,0,0,0,0,0,FULL AND OPEN COMPETITION,Bureau Of Land Management,54,Professional & Business Services,0,RESTON,VA,RESTON,VA,Arctic Slope Regional Corporation,uei_exact,A,1,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,RULED_ATTRIBUTED,2026-09-03,FULL AND OPEN COMPETITION,DAIMS-DEC v2.2 ExtentCompeted | https://files.usaspending.gov/docs/Data_Dictionary_Crosswalk.xlsx | LABEL_AS_RECORDED,CE-00078-KR,CONFIRMED_AS_OF,CE-00078-KR,1422_1422_140L0623F0157_P00001_140L0622A0006_0,CONT_AWD_140L0623F0157_1422_140L0622A0006_1422,541519,OTHER COMPUTER RELATED SERVICES,2023-09-19,BPA CALL,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),MOD TO ADD ADDITIONAL LABOR HOURS,"naics/action_date/award_type: usaspending_award_archive_20260806 filtered extract, transaction grain | psc/description: award not present in the local gapfill corpus - genuine re-pull; archive_repull_1085_2026-09-02",agent_research_two_leg,A,N,UEI:XPRKVQ956WB4,,51059,FAIRFAX,51,0.998202,1,51059,FAIRFAX,51,0.998202,1,derived_place_modal,modal county of this row's own city+state in geo_place_county_crosswalk.csv,CONT_AWD_140L0623F0157_1422_140L0622A0006_1422,2026-09-02
693KA920F00026,DTFAWA10A00007,2023,0,"DIGITALIBIZ, LLC",TLJNK2BY7SD7,35YW0,"DIGITALIBIZ, LLC",TLJNK2BY7SD7,2364237.07,68434031.77,2491518.14,72118246.3,1.053836,2025,8(a),1,0,0,1,1,COMPETED UNDER SAP,Federal Aviation Administration,54,Professional & Business Services,0,ROCKVILLE,MD,OKLAHOMA CITY,OK,The Chickasaw Nation,uei_exact,B,1,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,RULED_ATTRIBUTED,2026-09-03,COMPETED UNDER SAP,DAIMS-DEC v2.2 ExtentCompeted | https://files.usaspending.gov/docs/Data_Dictionary_Crosswalk.xlsx | LABEL_AS_RECORDED,CE-00135-HP,NOT_EVALUATED,UNKNOWN,6920_6920_693KA920F00026_P00070_DTFAWA10A00007_0,CONT_AWD_693KA920F00026_6920_DTFAWA10A00007_6920,541330,ENGINEERING SERVICES,2023-09-13,BPA CALL,R499,SUPPORT- PROFESSIONAL: OTHER,MOD P00070,"naics/action_date/award_type: usaspending_award_archive_20260806 filtered extract, transaction grain | psc/description: award not present in the local gapfill corpus - genuine re-pull; archive_repull_1085_2026-09-02",agent_research_one_leg,B,N,UEI:TLJNK2BY7SD7,,24031,MONTGOMERY,24,0.998712,1,40109,OKLAHOMA,40,0.953902,1,derived_place_modal,modal county of this row's own city+state in geo_place_county_crosswalk.csv,CONT_AWD_693KA920F00026_6920_DTFAWA10A00007_6920,2026-09-02
HQ085123F0026,HQ085122D0002,2023,0,"CORVID TECHNOLOGIES, LLC",DD7KTEMDG6A5,1VJF8,CORVID TECHNOLOGIES LLC,VUBTVT9ADBD1,34736.6,129429.6,36606.68,136397.57,1.053836,2025,None reported,0,0,0,0,0,NOT AVAILABLE FOR COMPETITION,Dept Of Defense,54,Professional & Business Services,1,MOORESVILLE,NC,MOORESVILLE,NC,The Chickasaw Nation,uei_exact,B,1,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,RULED_ATTRIBUTED,2026-09-03,NOT AVAILABLE FOR COMPETITION,DAIMS-DEC v2.2 ExtentCompeted | https://files.usaspending.gov/docs/Data_Dictionary_Crosswalk.xlsx | LABEL_AS_RECORDED,CE-00135-HP,RESOLVED_OWNER_NOT_IN_CEDAR,UNKNOWN,9700_9700_HQ085123F0026_P00001_HQ085122D0002_0,CONT_AWD_HQ085123F0026_9700_HQ085122D0002_9700,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",2023-09-08,DELIVERY ORDER,AC13,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT,FLIGHT TEST & RANGE SAFETY MODELING,"naics/action_date/award_type: usaspending_award_archive_20260806 filtered extract, transaction grain | psc/description: award not present in the local gapfill corpus - genuine re-pull; archive_repull_1085_2026-09-02",agent_research_one_leg,B,N,UEI:DD7KTEMDG6A5,,37097,IREDELL,37,1.000000,0,37097,IREDELL,37,1.000000,0,derived_place_modal,modal county of this row's own city+state in geo_place_county_crosswalk.csv,CONT_AWD_HQ085123F0026_9700_HQ085122D0002_9700,2026-09-02
68HE0523F0068,68HE0118D0016,2023,0,OCH JV,JGYBC6JQM8D3,73Z43,ONEIDA NATION,QX91C7GZDJS5,0.0,756436.88,0.0,797160.42,1.053836,2025,None reported,0,0,0,0,0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,Environmental Protection Agency,56,Professional & Business Services,0,MILWAUKEE,WI,WAUKEGAN,IL,Oneida Nation,uei_exact,B,1,"USAspending award_data_archive (FPDS-NG static monthly file), stamp 20260806",2026-08-12,RULED_ATTRIBUTED,2026-09-03,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,DAIMS-DEC v2.2 ExtentCompeted | https://files.usaspending.gov/docs/Data_Dictionary_Crosswalk.xlsx | LABEL_AS_RECORDED,CE-0017Y-V7,CONFIRMED_AS_OF,CE-0017Y-V7,6800_6800_68HE0523F0068_P00001_68HE0118D0016_0,CONT_AWD_68HE0523F0068_6800_68HE0118D0016_6800,562910,REMEDIATION SERVICES,2023-09-06,DELIVERY ORDER,F108,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,INCORPORATION OF THE FINAL PROJECT MANAGEMENT PLAN,"naics/action_date/award_type: usaspending_award_archive_20260806 filtered extract, transaction grain | psc/description: award not present in the local gapfill corpus - genuine re-pull; archive_repull_1085_2026-09-02",agent_research_one_leg,B,N,UEI:JGYBC6JQM8D3,,55079,MILWAUKEE,55,0.964694,1,17097,LAKE,17,0.999980,1,derived_place_modal,modal county of this row's own city+state in geo_place_county_crosswalk.csv,CONT_AWD_68HE0523F0068_6800_68HE0118D0016_6800,2026-09-02
