npi,legal_name,other_names,status,organizational_subpart,enumeration_date,certification_date,last_updated,mailing_address_1,mailing_city,mailing_state,mailing_postal_code,location_address_1,location_city,location_state,location_postal_code,location_telephone,primary_taxonomy_code,primary_taxonomy_desc,all_taxonomy_desc,source_url,retrieved_at,source_id,population_basis,inclusion_basis,inclusion_basis_detail,inclusion_basis_terms_matched,retrieved_by_n_spine_queries
1003012089,"SENIOR RESOURCE ASSOCIATION, INC","SENIOR RESOURCE ASSN., INC. | COUNCIL ON AGING OF IRC",A,NO,2007-06-26,2024-08-22,2024-08-26,694 14TH ST,VERO BEACH,FL,329605770,815 DAVIS ST,SEBASTIAN,FL,329583842,772-569-0760,261QA0600X,"Clinic/Center, Adult Day Care","Clinic/Center, Adult Day Care | Home Delivered Meals | Non-emergency Medical Transport (VAN) | Technician, Attendant Care Provider",https://npiregistry.cms.hhs.gov/api/?number=1003012089,2026-09-02T16:27:47.079870+00:00,cms_nppes,KNOWN_IDENTIFIER,term_match,"returned by an NPPES organization_name query seeded from a Cedar spine entity's canonical name. The NPPES record itself carries NO Native flag - CMS does not publish one - so this row's presence is evidence about a NAME, not about identity",COUNCIL*,1
1003138967,NATHAN K. BEAVERS DMD PLLC,BEAVERS PEDIATRIC DENTISTRY,A,NO,2010-02-19,2025-11-25,2025-11-25,312 FOUNTAINS DR,MADISON,MS,391106384,312 FOUNTAINS DR,MADISON,MS,391106384,601-856-5313,1223P0221X,"Dentist, Pediatric Dentistry","Dentist, Pediatric Dentistry",https://npiregistry.cms.hhs.gov/api/?number=1003138967,2026-09-02T16:27:47.079870+00:00,cms_nppes,KNOWN_IDENTIFIER,term_match,"returned by an NPPES organization_name query seeded from a Cedar spine entity's canonical name. The NPPES record itself carries NO Native flag - CMS does not publish one - so this row's presence is evidence about a NAME, not about identity",BEAVER*,1
1003327719,INNOVATIVE AUDIOLOGY AND HEARING CLINIC LLC,PLATINUM HEARING,A,NO,2017-10-20,2024-12-17,2024-12-17,7629 E PINNACLE PEAK RD STE 118,SCOTTSDALE,AZ,852556292,7629 E PINNACLE PEAK RD STE 118,SCOTTSDALE,AZ,852556292,602-283-3823,261QH0700X,"Clinic/Center, Hearing and Speech","Clinic/Center, Hearing and Speech | Hearing  Aid Equipment",https://npiregistry.cms.hhs.gov/api/?number=1003327719,2026-09-02T16:27:47.079870+00:00,cms_nppes,KNOWN_IDENTIFIER,term_match,"returned by an NPPES organization_name query seeded from a Cedar spine entity's canonical name. The NPPES record itself carries NO Native flag - CMS does not publish one - so this row's presence is evidence about a NAME, not about identity",PLATINUM*,1
1003384587,HAMILTON COUNTY HOSPITAL DISTRICT,KEMP CARE CENTER,A,NO,2018-11-02,2020-10-09,2020-10-09,4150 INTERNATIONAL PLAZA,FT WORTH,TX,761094831,1351 SOUTH ELM STREET,KEMP,TX,751437713,915-859-1650,314000000X,Skilled Nursing Facility,Skilled Nursing Facility,https://npiregistry.cms.hhs.gov/api/?number=1003384587,2026-09-02T16:27:47.079870+00:00,cms_nppes,KNOWN_IDENTIFIER,term_match,"returned by an NPPES organization_name query seeded from a Cedar spine entity's canonical name. The NPPES record itself carries NO Native flag - CMS does not publish one - so this row's presence is evidence about a NAME, not about identity",HAMILTON*,1
1003521667,"PALATKA LPOC, LLC",VINTAGE CARE OF PALATKA,A,NO,2023-01-18,2023-01-18,2023-01-18,203 S MOODY RD,PALATKA,FL,321773903,203 S MOODY RD,PALATKA,FL,321773903,386-329-9905,310400000X,Assisted Living Facility,Assisted Living Facility,https://npiregistry.cms.hhs.gov/api/?number=1003521667,2026-09-02T16:27:47.079870+00:00,cms_nppes,KNOWN_IDENTIFIER,term_match,"returned by an NPPES organization_name query seeded from a Cedar spine entity's canonical name. The NPPES record itself carries NO Native flag - CMS does not publish one - so this row's presence is evidence about a NAME, not about identity",PALA*,1
1003639279,CIRCLE CITY COMPANIONS LLC,CIRCLE CITY COMPANIONS,A,NO,2024-11-05,2024-11-05,2024-11-05,2054 COLDWATER CT,INDIANAPOLIS,IN,462398702,2054 COLDWATER CT,INDIANAPOLIS,IN,462398702,317-679-1336,253Z00000X,In Home Supportive Care,In Home Supportive Care,https://npiregistry.cms.hhs.gov/api/?number=1003639279,2026-09-02T16:27:47.079870+00:00,cms_nppes,KNOWN_IDENTIFIER,term_match,"returned by an NPPES organization_name query seeded from a Cedar spine entity's canonical name. The NPPES record itself carries NO Native flag - CMS does not publish one - so this row's presence is evidence about a NAME, not about identity",CIRCLE*,1
1003679036,PENA FRANCIA HOME HEALTH CARE LLC,PLATINUM HOME HEALTH | PLATINUM HOME HEALTH NEVADA,A,NO,2024-02-01,2024-08-11,2024-08-11,107 E WARM SPRINGS RD,LAS VEGAS,NV,891194101,107 E WARM SPRINGS RD,LAS VEGAS,NV,891194101,702-202-6039,251E00000X,Home Health,Home Health,https://npiregistry.cms.hhs.gov/api/?number=1003679036,2026-09-02T16:27:47.079870+00:00,cms_nppes,KNOWN_IDENTIFIER,term_match,"returned by an NPPES organization_name query seeded from a Cedar spine entity's canonical name. The NPPES record itself carries NO Native flag - CMS does not publish one - so this row's presence is evidence about a NAME, not about identity",PLATINUM*,1
1003749623,PROFESSIONAL SERVICES OF HOLY CROSS,HOLY CROSS HEALTH PARTNERS IN ROCKVILLE,A,YES,2026-06-04,2026-08-31,2026-08-31,15245 SHADY GROVE RD STE 145,ROCKVILLE,MD,208506246,15245 SHADY GROVE RD STE 145,ROCKVILLE,MD,208506246,301-527-1650,261QM1300X,"Clinic/Center, Multi-Specialty","Clinic/Center, Health Services | Clinic/Center, Multi-Specialty",https://npiregistry.cms.hhs.gov/api/?number=1003749623,2026-09-02T16:27:47.079870+00:00,cms_nppes,KNOWN_IDENTIFIER,term_match,"returned by an NPPES organization_name query seeded from a Cedar spine entity's canonical name. The NPPES record itself carries NO Native flag - CMS does not publish one - so this row's presence is evidence about a NAME, not about identity",HOLY CROSS*,1
1003867672,DONALD J. MEYERS,CRAIG PHARMACY,A,NO,2006-05-16,2020-12-02,2020-12-02,PO BOX 130364,TYLER,TX,757130364,1863 TROUP HWY,TYLER,TX,757015871,903-595-3737,3336C0003X,"Pharmacy, Community/Retail Pharmacy","Durable Medical Equipment & Medical Supplies | Prosthetic/Orthotic Supplier | Pharmacy, Community/Retail Pharmacy",https://npiregistry.cms.hhs.gov/api/?number=1003867672,2026-09-02T16:27:47.079870+00:00,cms_nppes,KNOWN_IDENTIFIER,term_match,"returned by an NPPES organization_name query seeded from a Cedar spine entity's canonical name. The NPPES record itself carries NO Native flag - CMS does not publish one - so this row's presence is evidence about a NAME, not about identity",CRAIG*,1
1003947953,COUNTY OF TETON,JACKSON HOLE FIRE EMS,A,YES,2007-03-09,2026-05-06,2026-05-06,PO BOX 901,JACKSON,WY,830010901,40 E PEARL AVE,JACKSON,WY,83001,402-572-4019,3416L0300X,"Ambulance, Land Transport","Ambulance, Land Transport",https://npiregistry.cms.hhs.gov/api/?number=1003947953,2026-09-02T16:27:47.079870+00:00,cms_nppes,KNOWN_IDENTIFIER,term_match,"returned by an NPPES organization_name query seeded from a Cedar spine entity's canonical name. The NPPES record itself carries NO Native flag - CMS does not publish one - so this row's presence is evidence about a NAME, not about identity",JACKSON*,1
