nho_id,organization_name,doi_list_page,verification_8a,uei,cage_code,is_federal_contractor,confidence_tier,list_type,source,source_url,fetched_date,cedar_uid
NHO-DOI-0001,Aha Kukaniloko Koa Mana mea ola kanaka mauli,1,,,,,C,NHPA consultation notification list (broad; NOT a contracting registry),"DOI Office of Native Hawaiian Relations, NHO Notification List (updated 2025-04-02)",https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,2026-08-05,
NHO-DOI-0005,Ahonui Homestead Association,6,,,,,C,NHPA consultation notification list (broad; NOT a contracting registry),"DOI Office of Native Hawaiian Relations, NHO Notification List (updated 2025-04-02)",https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,2026-08-05,
NHO-DOI-0009,Alakaʻi Foundation Inc,9,,,,,C,NHPA consultation notification list (broad; NOT a contracting registry),"DOI Office of Native Hawaiian Relations, NHO Notification List (updated 2025-04-02)",https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,2026-08-05,
NHO-DOI-0013,Association of Hawaiian Civic Clubs,12,,,,,C,NHPA consultation notification list (broad; NOT a contracting registry),"DOI Office of Native Hawaiian Relations, NHO Notification List (updated 2025-04-02)",https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,2026-08-05,
NHO-DOI-0017,Captain Kimo's Hawaiian Adventures,15,,,,,C,NHPA consultation notification list (broad; NOT a contracting registry),"DOI Office of Native Hawaiian Relations, NHO Notification List (updated 2025-04-02)",https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,2026-08-05,
NHO-DOI-0021,EAO Hawaii Inc,17,,,,,C,NHPA consultation notification list (broad; NOT a contracting registry),"DOI Office of Native Hawaiian Relations, NHO Notification List (updated 2025-04-02)",https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,2026-08-05,
NHO-DOI-0025,God's Country Waimanalo,19,,,,,C,NHPA consultation notification list (broad; NOT a contracting registry),"DOI Office of Native Hawaiian Relations, NHO Notification List (updated 2025-04-02)",https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,2026-08-05,
NHO-DOI-0029,Hanona,21,,,,,C,NHPA consultation notification list (broad; NOT a contracting registry),"DOI Office of Native Hawaiian Relations, NHO Notification List (updated 2025-04-02)",https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,2026-08-05,
NHO-DOI-0033,Hawaiian Islands Land Trust,24,,,,,C,NHPA consultation notification list (broad; NOT a contracting registry),"DOI Office of Native Hawaiian Relations, NHO Notification List (updated 2025-04-02)",https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,2026-08-05,
NHO-DOI-0037,"Honua Consulting, LLC",26,,,,,C,NHPA consultation notification list (broad; NOT a contracting registry),"DOI Office of Native Hawaiian Relations, NHO Notification List (updated 2025-04-02)",https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,2026-08-05,
