consultation_event_id,document_number,event_class,channel,is_lobbying,consultation_type,record_type,agency,sub_agency,undertaking_title,project_or_docket_id,notice_date,document_type,tribe_id,tribe_name,participant_name_as_published,participant_role,match_method,thpo_referenced,thpo_quote,shpo_referenced,achp_referenced,consulting_parties_referenced,consulting_parties_quote,effect_determination_reported,effect_determination_quote,effect_terms_present,agreement_instrument,agreement_instrument_quote,applicants_named,n_applicants_named,project_reference,comment_deadline,federal_register_citation,source_url,section_106_marker_quote,source_quote,fetched_date,tier,confidence,built_date,built_by_script,cedar_uid
S106-FR-0ba97367e0ba97c4,02-16252,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,0,NHPA_section_106,PROJECT_UNDERTAKING,Energy Department,Federal Energy Regulatory Commission,Alabama Power Company; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Register of Historic Places,"Project Nos. 2146-090,82-019, and 618-104-AlabamaCoosa River Project, Mitchell, Project, and Jordan Project",2002-06-27,Notice,TRBF-JNACTW-00,Jena,Jena Band of Choctaw Indians,named_in_consultation_statement,fr_official_name_literal,1,"Christine Norris, Tribal Historic Preservation Officer, Jena Band of Choctaw Indians, P.O.",1,1,0,,,,,PROGRAMMATIC_AGREEMENT,"[Federal Register Volume 67, Number 124 (Thursday, June 27, 2002)] [Notices] [Pages 43307-43308] From the Federal Register Online via the Government Publishing Office [ www.gpo.gov ] [FR Doc No: 02-16252] ----------------------------------------------------------------------- DEPARTMENT OF ENERGY Federal Energy Regulatory Commission [Project Nos. 2146-090,82-019, and 618-104--AlabamaCoosa River Project, Mitchell, Project, and Jordan Project] Alabama Power Company; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusi",Alabama Power Company,1,"Project No. 2146, 82",,67 FR 43307,https://www.federalregister.gov/documents/2002/06/27/02-16252/alabama-power-company-notice-of-proposed-restricted-service-list-for-a-programmatic-agreement-for,"Rule 2010 of the Federal Energy Regulatory Commission's (Commission) Rules of Practice and Procedure provides that, to eliminate unnecessary expense or improve administrative efficiency, the Secretary may establish a restricted service list for a particular phase or issue in a proceeding.\1\ The restricted service list should contain the names of persons on the service list who, in the judgment of the decisional authority establishing the list, are active participants with respect to the phase or issue in the proceeding for which the list is established. ---------------------------------------","Alabama Power Company, as licensee for Project Nos. 2146, 82, and 618, and the Mississippi Band of Choctaw Indians, Jena Band of Choctaw Indians, Chickasaw Nation, Poarch Band of Creek Indians, and the U.S. Bureau of Indian Affairs have expressed an interest in this preceding and are invited to participate in consultations to develop the programmatic agreement.",2026-09-01,A,high,2026-09-01,code/130_build_section_106_consultation.py,CE-0015H-32
S106-FR-07b6868d29b9fb5c,02-16253,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,0,NHPA_section_106,PROJECT_UNDERTAKING,Energy Department,Federal Energy Regulatory Commission,Alabama Power Company; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Register of Historic Places,Project No. 2165-015-Alabama Black Warrior River Project,2002-06-27,Notice,TRBF-MSBCTW-00,Mississippi Choctaw,Mississippi Band of Choctaw Indians,named_in_document,fr_official_name_literal,1,"For purposes of commenting on the programmatic agreement, we propose to restrict the service list for the aforementioned projects as follows: Dr. Laura Henley Dean, Advisory Council on Historic Preservation, The Old Post Office Building, Suite 803, 1100 Pennsylvania Avenue, NW., Washington, DC 20004 Amanda McBride, Alabama Historical Commission, 1500 Tower Building, 323 Center Street, Little Rock, AR 72201 Christine Norris, Tribal Historic Preservation Officer, Jena Band of Choctaw Indians, P.O.",1,1,0,,,,,PROGRAMMATIC_AGREEMENT,"[Federal Register Volume 67, Number 124 (Thursday, June 27, 2002)] [Notices] [Pages 43308-43309] From the Federal Register Online via the Government Publishing Office [ www.gpo.gov ] [FR Doc No: 02-16253] ----------------------------------------------------------------------- DEPARTMENT OF ENERGY Federal Energy Regulatory Commission [Project No. 2165-015--Alabama Black Warrior River Project] Alabama Power Company; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Register of Historic Places June",Alabama Power Company,1,Project No. 2165,,67 FR 43308,https://www.federalregister.gov/documents/2002/06/27/02-16253/alabama-power-company-notice-of-proposed-restricted-service-list-for-a-programmatic-agreement-for,"Rule 2010 of the Federal Energy Regulatory Commission's (Commission) Rules of Practice and Procedure provides that, to eliminate unnecessary expense or improve administrative efficiency, the Secretary may establish a restricted service list for a particular phase or issue in a proceeding.\1\ The restricted service list should contain the names of persons on the service list who, in the judgment of the decisional authority establishing the list, are active participants with respect to the phase or issue in the proceeding for which the list is established. ---------------------------------------","Alabama Power Company, as licensee for Project No. 2165, and the Mississippi Band of Choctaw Indians, Jena Band of Choctaw Indians, Chickasaw Nation, Poarch Band of Creek Indians, U.",2026-09-01,B,medium,2026-09-01,code/130_build_section_106_consultation.py,CE-00179-XT
S106-FR-e96e7acde070a984,02-27111,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,0,NHPA_section_106,AGREEMENT_DOCUMENT_REFERENCE,Transportation Department,,"Consolidated Rail Corporation-Abandonment Exemption-Lancaster and Chester Counties, PA",Docket No. AB-167 (Sub-No. 1095X),2002-10-24,Notice,TRBF-SNCNAT-00,Seneca,Seneca Nation of Indians,named_in_document,fr_official_name_literal,1,"Once an MOA is signed, the NHPA review in this case will be complete in accordance with the NHPA and the court's decision, and the section 106 condition imposed in this case can be removed.\9\ --------------------------------------------------------------------------- \9\ Agency officials and consulting parties can expedite the section 106 process by addressing multiple steps simultaneously where appropriate, as long as the consulting parties and the public have an adequate opportunity to express their views and the SHPO (and Tribal Historic Preservation Officer(s), when involved) agree that i",1,1,1,The intent of this Notice is threefold: (1) To bring all consulting parties up to date on the background of the case; (2) to describe the Board's reinitiation of the NHPA process and proposed next steps; and (3) to solicit comments on the five issues delineated at the end of this Notice.,,,NO_ADVERSE_EFFECT,MEMORANDUM_OF_AGREEMENT,"The agency's mitigation plan is then formulated into a proposed Memorandum of Agreement (MOA), which, if agreed upon, is signed by the consulting parties.",,0,,2002-12-09,67 FR 65405,https://www.federalregister.gov/documents/2002/10/24/02-27111/consolidated-rail-corporation-abandonment-exemption-lancaster-and-chester-counties-pa,"ACTION: Notice of reinitiation of the National Historic Preservation Act section 106 process and request for comments. ----------------------------------------------------------------------- SUMMARY: This notice to the parties discusses the background of the abandonment exemption proceeding, describes the Surface Transportation Board's reinitiation of the National Historic Preservation Act section 106 process, and requests comments on several specific issues.","Pitts, United States House of Representatives); state leaders and agencies (Honorable Mark Schweiker, Governor; Pennsylvania Department of Transportation; Pennsylvania Public Utility Commission; Pennsylvania Bureau of State Parks; and Pennsylvania Department of Conservation and Natural Resources); tribes (Absentee-Shawnee Tribe of Oklahoma; Cayuga Nation; Delaware Nation, Oklahoma; Delaware Tribe of Indians, Oklahoma; Eastern Shawnee Tribe of Oklahoma; Oneida Indian Nation; Oneida Tribe of Indians of Wisconsin; Onondaga Indian Nation; Seneca Nation of Indians; Seneca-Cayuga Tribe of Oklahoma; St. Regis Mohawk Tribe; Stockbridge-Munsee Community of Wisconsin; Tonawanda Band of Seneca Indians; and Tuscarora Nation); local agencies and organizations (Atglen Borough, Chester County Planning Commission, Chester County Parks and Recreation Department, Delaware Valley Regional Planning Commissi",2026-09-01,B,medium,2026-09-01,code/130_build_section_106_consultation.py,CE-001AC-YN
S106-FR-2f7cb4f7166e6757,02-27455,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,0,NHPA_section_106,PROJECT_UNDERTAKING,Energy Department,Federal Energy Regulatory Commission,Alabama Power Company; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Register of Historic Places,"Project Nos. 2146-090,82-019, and 618-104-Alabama Coosa River Project, Mitchell Project, and Jordan Project",2002-10-29,Notice,TRBF-POARCH-00,Poarch,Poarch Band of Creek Indians,named_in_consultation_statement,fr_official_name_literal,1,"Christine Norris, Tribal Historic Preservation Officer, Jena Band of Choctaw Indians, P.O.",1,1,0,,,,,PROGRAMMATIC_AGREEMENT,"[Federal Register Volume 67, Number 209 (Tuesday, October 29, 2002)] [Notices] [Page 65971] From the Federal Register Online via the Government Publishing Office [ www.gpo.gov ] [FR Doc No: 02-27455] ----------------------------------------------------------------------- DEPARTMENT OF ENERGY Federal Energy Regulatory Commission [Project Nos. 2146-090,82-019, and 618-104--Alabama Coosa River Project, Mitchell Project, and Jordan Project] Alabama Power Company; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in",Alabama Power Company,1,"Project No. 2146, 82",,67 FR 65971,https://www.federalregister.gov/documents/2002/10/29/02-27455/alabama-power-company-notice-of-proposed-restricted-service-list-for-a-programmatic-agreement-for,"Rule 2010 of the Federal Energy Regulatory Commission's (Commission) Rules of Practice and Procedure provides that, to eliminate unnecessary expense or improve administrative efficiency, the Secretary may establish a restricted service list for a particular phase or issue in a proceeding. \1\ The restricted service list should contain the names of persons on the service list who, in the judgment of the decisional authority establishing the list, are active participants with respect to the phase or issue in the proceeding for which the list is established. --------------------------------------","Alabama Power Company, as licensee for Project Nos. 2146, 82, and 618, and the Mississippi Band of Choctaw Indians, Jena Band of Choctaw Indians, Chickasaw Nation, Poarch Band of Creek Indians, and the U.S. Bureau of Indian Affairs have expressed an interest in this preceding and are invited to participate in consultations to develop the programmatic agreement.",2026-09-01,A,high,2026-09-01,code/130_build_section_106_consultation.py,CE-0018H-JJ
S106-FR-f7de59008e089646,02-29999,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,0,NHPA_section_106,PROJECT_UNDERTAKING,Energy Department,Federal Energy Regulatory Commission,"Alabama Power Company Coosa River Project, Mitchell Project, and Jordan Project; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Register of Historic Places","Project Nos. 2146-090,82-019, and 618-104-Alabama",2002-11-26,Notice,TRBF-JNACTW-00,Jena,Jena Band of Choctaw Indians,named_in_consultation_statement,fr_official_name_literal,1,"Christine Norris, Tribal Historic Preservation Officer, Jena Band of Choctaw Indians, P.O.",1,1,0,,,,,PROGRAMMATIC_AGREEMENT,"[Federal Register Volume 67, Number 228 (Tuesday, November 26, 2002)] [Notices] [Pages 70727-70728] From the Federal Register Online via the Government Publishing Office [ www.gpo.gov ] [FR Doc No: 02-29999] ----------------------------------------------------------------------- DEPARTMENT OF ENERGY Federal Energy Regulatory Commission [Project Nos. 2146-090,82-019, and 618-104--Alabama] Alabama Power Company Coosa River Project, Mitchell Project, and Jordan Project; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Incl",Alabama Power Company,1,"Project No. 2146, 82",,67 FR 70727,https://www.federalregister.gov/documents/2002/11/26/02-29999/alabama-power-company-coosa-river-project-mitchell-project-and-jordan-project-notice-of-proposed,"Rule 2010 of the Federal Energy Regulatory Commission's (Commission) Rules of Practice and Procedure provides that, to eliminate unnecessary expense or improve administrative efficiency, the Secretary may establish a restricted service list for a particular phase or issue in a proceeding. \1\ The restricted service list should contain the names of persons on the service list who, in the judgment of the decisional authority establishing the list, are active participants with respect to the phase or issue in the proceeding for which the list is established. --------------------------------------","Alabama Power Company, as licensee for Project Nos. 2146, 82, and 618, and the Mississippi Band of Choctaw Indians, Jena Band of Choctaw Indians, Chickasaw Nation, Poarch Band of Creek Indians, and the U.S. Bureau of Indian Affairs have expressed an interest in this preceding and are invited to participate in consultations to develop the programmatic agreement.",2026-09-01,A,high,2026-09-01,code/130_build_section_106_consultation.py,CE-0015H-32
S106-FR-d4433ff9a3c0726b,03-20999,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,0,NHPA_section_106,PROJECT_UNDERTAKING,Energy Department,Federal Energy Regulatory Commission,Hydroelectric Licensing Under the Federal Power Act,Docket No. RM02-16-000; Order No. 2002,2003-08-25,Rule,TRBF-UMATLL-00,Umatilla Tribe,Confederated Tribes of the Umatilla Indian Reservation,named_in_document,fr_official_name_literal,1,"The Advisory Council, citing 36 CFR 800.4, seeks assurance that State Historic Preservation Officers (SHPO), Tribal Historic Preservation Officers (THPO), and Indian tribes have an opportunity to participate in formal dispute resolution before any dispute pertaining to implementation of NHPA Section 106 is resolved.",1,1,0,,ADVERSE_EFFECT,It makes no determination whether any aspect of the potential license application or reasonable alternatives would have an adverse effect on historic properties.,ADVERSE_EFFECT,PROGRAMMATIC_AGREEMENT,"It states that some staff require a draft Programmatic Agreement (PA) when the application is filed, others want the HPMP to be complete before the application and prior to the PA, and in other cases these documents are allowed to be completed after the license is issued.",,0,,,68 FR 51070,https://www.federalregister.gov/documents/2003/08/25/03-20999/hydroelectric-licensing-under-the-federal-power-act,NHPA Section 106 4.,Note: The following Appendix will appear in the Code of Federal Regulations: Appendix A List of Commenters Licensees Alabama Power Co. (Alabama Power) American Electric Power Company (AEP) CHI Energy (CHI) Consumers Energy Company (Consumers) Duke Power Company (Duke) Edison Electric Institute and Alliance of Energy Suppliers (EEI) Georgia Power Company (Georgia Power) Idaho Power Company (Idaho Power) National Hydropower Association (NHA) Northeast Utilities Systems (NEU) Oroville-Wyandotte Irrigation District (Oroville) PG&E Corporation (PG&E) Progress Energy (Progress) Puget Sound Energy (PSE) Reliant Energy (Reliant) Southern California Edison Company (SCE) Tri-Dam Project (Tri-Dam) WPS Resources (WPSR) Wisconsin Public Service Corporation (WPSC) Xcel Energy (Xcel) Non-Governmental Organizations Adirondack Mountain Club (ADK) American Rivers (AmRivers) American Whitewater Affiliation,2026-09-01,B,medium,2026-09-01,code/130_build_section_106_consultation.py,CE-001BT-Q3
S106-FR-5548676cef673d33,03-6388,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,0,NHPA_section_106,AGREEMENT_DOCUMENT_REFERENCE,Energy Department,Federal Energy Regulatory Commission,Hydroelectric Licensing Under the Federal Power Act,Docket No. RM02-16-000,2003-03-21,Proposed Rule,TRBF-MSBCTW-00,Mississippi Choctaw,Mississippi Band of Choctaw Indians,named_in_document,fr_official_name_literal,1,"However, they also provide for consultation with non-Federally recognized tribes as consulting parties that have an interest in the proposed licensing action.\143\ If a Federally recognized tribe has an approved Tribal Historic Preservation Officer (THPO), the Commission is required to consult with the THPO instead of the SHPO for undertakings that affect historic properties on tribal lands.",1,1,1,"However, they also provide for consultation with non-Federally recognized tribes as consulting parties that have an interest in the proposed licensing action.\143\ If a Federally recognized tribe has an approved Tribal Historic Preservation Officer (THPO), the Commission is required to consult with the THPO instead of the SHPO for undertakings that affect historic properties on tribal lands.",,,ADVERSE_EFFECT,PROGRAMMATIC_AGREEMENT; MEMORANDUM_OF_AGREEMENT; MEMORANDUM_OF_UNDERSTANDING,"EEI, NHA, and Idaho Power recommend that the Commission consider developing state-specific agreements comparable to programmatic agreements with State Historic Preservation Officers (SHPO), which might address such matters as coordination of schedules and key information needs of the states.\126\ As previously noted,\127\ the Commission has already begun consultations with the states to determine whether such memoranda or other actions to enhance coordination, apart from the proposed rule, may be useful.",,0,,2003-04-21,68 FR 13988,https://www.federalregister.gov/documents/2003/03/21/03-6388/hydroelectric-licensing-under-the-federal-power-act,National Historic Preservation Act Consultation 5.,"Appendix A List of Commenters Licensees Alaska Power & Telephone Co. (APT) Ameren/UE American Electric Power Company (AEP) CHI Energy, Inc. (CHI) Connecticut Small Power Producers Association (CSPPA) Domtar, Inc., Madison Paper, and Great Lakes Hydro America (DM&GLH) Domtar, Inc. (Domtar) Duke Power Company (Duke) Edison Electric Institute (EEI) FAMP FPL Energy (FPL) Georgia Power Company (Georgia Power) Hydroelectric Relicensing Reform Task Force (HLRTC) \299\ --------------------------------------------------------------------------- \299\ HLRTC members are drawn from the memberships of the American Public Power Association, Edison Electric Institute, and National Hydropower Association. --------------------------------------------------------------------------- Idaho Power Company (IPC) National Hydropower Association (NHA) National Hydropower Association, American Public Power Associ",2026-09-01,B,medium,2026-09-01,code/130_build_section_106_consultation.py,CE-00179-XT
S106-FR-f1ceb92ebd61c44c,2010-17547,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,0,NHPA_section_106,PROJECT_UNDERTAKING,Energy Department,Federal Energy Regulatory Commission,"East Texas Electric Cooperative, Inc.: Lake Livingston Hydroelectric Project; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Register of Historic Places",Project No. 12632-001-Texas,2010-07-19,Notice,TRBF-KCKPTX-00,Kickapoo of Texas,Kickapoo Traditional Tribe of Texas,named_in_document,fr_official_name_literal,1,"Celestine, THPO, Alabama-Coushatta Tribe of Texas, 571 State Park Road 56, Livingston, TX 77351.",1,1,0,,,,,PROGRAMMATIC_AGREEMENT,"[Federal Register Volume 75, Number 137 (Monday, July 19, 2010)] [Notices] [Pages 41856-41857] From the Federal Register Online via the Government Publishing Office [ www.gpo.gov ] [FR Doc No: 2010-17547] ----------------------------------------------------------------------- DEPARTMENT OF ENERGY Federal Energy Regulatory Commission [Project No. 12632-001-Texas] East Texas Electric Cooperative, Inc.: Lake Livingston Hydroelectric Project; Notice of Proposed Restricted Service List for a Programmatic Agreement for Managing Properties Included in or Eligible for Inclusion in the National Registe","East Texas Electric Cooperative, Inc",1,Project No. 12632-001,,75 FR 41856,https://www.federalregister.gov/documents/2010/07/19/2010-17547/east-texas-electric-cooperative-inc-lake-livingston-hydroelectric-project-notice-of-proposed,"The Commission staff is consulting with the Texas State Historic Preservation Officer (hereinafter, SHPO) and the Advisory Council on Historic Preservation (hereinafter, Advisory Council) pursuant to the Advisory Council's regulations, 36 CFR Part 800, implementing section 106 of the National Historic Preservation Act, as amended, (16 U.S.C.","Don Spaulding, Tribal Administrator, Kickapoo Traditional Tribe of Texas, HCR 1, Box 9700, Eagle Pass, TX 78852.",2026-09-01,B,medium,2026-09-01,code/130_build_section_106_consultation.py,CE-0015S-KA
S106-FR-5fc5ce4e604fbcc7,2012-25457,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,0,NHPA_section_106,PROJECT_UNDERTAKING,Interior Department,National Park Service,"Record of Decision for the Final Environmental Impact Statement for the Susquehanna to Roseland 500-Kilovolt Transmission Line, Appalachian National Scenic Trail; Delaware Water Gap National Recreation Area and Middle Delaware National Scenic and Recreational River",NPS-NER-HPPC-11442; 4320-pplb-318,2012-10-17,Notice,TRBF-ESHAWN-00,Eastern Shawnee Tribe of Oklahoma,Eastern Shawnee Tribe of Oklahoma,named_in_consultation_statement,fr_official_name_literal,0,,1,1,1,"NPS staff members shared extensive research, hosted consultation calls, and conducted on-site consultation meetings, finalizing the list of Section 106 consulting parties in spring 2012, when the NPS identified a preferred alternative.",ADVERSE_EFFECT,"The ROD also concludes the NPS's responsibilities under Section 106 of the National Historic Preservation Act, and its implementing regulations at 36 CFR 800.8, by committing to the mitigation of adverse effects to historic properties.",ADVERSE_EFFECT,MEMORANDUM_OF_AGREEMENT,"Compensatory Mitigation The applicants have offered, and NPS will require as a permit condition, that they deposit at least fifty-six million dollars ($56,000,000) into a Middle Delaware Compensation Fund, as will be described in a memorandum of agreement to be entered with and managed by The Conservation Fund, to: Acquire lands from willing sellers that can be included in the boundaries of APPA and DEWA as compensatory mitigation for lands over which ROW rights are granted.",,0,,,77 FR 63856,https://www.federalregister.gov/documents/2012/10/17/2012-25457/record-of-decision-for-the-final-environmental-impact-statement-for-the-susquehanna-to-roseland,"The ROD also concludes the NPS's responsibilities under Section 106 of the National Historic Preservation Act, and its implementing regulations at 36 CFR 800.8, by committing to the mitigation of adverse effects to historic properties.","The list of Section 106 consulting parties includes the Absentee Shawnee Tribe of Indians of Oklahoma; Advisory Council on Historic Preservation; Appalachian Trail Conservancy; Delaware Nation, Oklahoma; Delaware Tribe of Indians, Oklahoma; Eastern Shawnee Tribe of Oklahoma; New Jersey Historic Preservation Office; New York-New Jersey Trail Conference; Oneida Nation of New York; Onondaga Nation of New York; Pennsylvania State Historic Preservation Office; Preservation New Jersey; Saint Regis Mohawk Tribe, New York (formerly the St. Regis Band of Mohawk Indians of New York); Seneca-Cayuga Tribe of Oklahoma; Seneca Nation of New York; Shawnee Tribe, Oklahoma; Stockbridge-Munsee Community, Wisconsin; and Tonawanda Band of Seneca Indians of New York.",2026-09-01,A,high,2026-09-01,code/130_build_section_106_consultation.py,CE-0014A-M3
S106-FR-ac15b6a638b23e55,2016-15343,GOVERNMENT_ENGAGEMENT,SECTION_106_CONSULTATION,0,NHPA_section_106,PROJECT_UNDERTAKING,Energy Department,Federal Energy Regulatory Commission,Clark Canyon Dam Hydroelectric Project; Notice of Availability of Environmental Assessment,Project No. 14677-001-Montana,2016-06-29,Notice,TRBF-FTHALL-00,Shoshone-Bannock,"Shoshone-Bannock, Eastern Shoshone, Nez Perce, and Salish-Kootenai tribes inviting comments and consultation",named_in_consultation_statement,name_head,0,,1,1,0,,,,ADVERSE_EFFECT,PROGRAMMATIC_AGREEMENT; MEMORANDUM_OF_AGREEMENT; MEMORANDUM_OF_UNDERSTANDING,"109 Acronyms and Abbreviations AIR additional information request APLIC Avian Power Line Interaction Committee APE Area of Potential Effect applicant Clark Canyon Hydro, LLC BLM U.S. Bureau of Land Management BMPs best management practices [deg]C degrees Celsius certification Section 401 Water Quality Certification CFR Code of Federal Regulations cfs cubic feet per second Commerce U.S. Department of Commerce Commission Federal Energy Regulatory Commission CWA Clean Water Act CWQMP Construction Water Quality Monitoring Plan District East Bench Irrigation District DO dissolved oxygen Revised DOE","Clark Canyon Hydro, LLC",1,Project No. 12429,,81 FR 42398,https://www.federalregister.gov/documents/2016/06/29/2016-15343/clark-canyon-dam-hydroelectric-project-notice-of-availability-of-environmental-assessment,7 1.3.4 National Historic Preservation Act.....,"Additionally, the Commission contacted the Shoshone-Bannock, Eastern Shoshone, Nez Perce, and Salish-Kootenai tribes inviting comments and consultation.",2026-09-01,B,medium,2026-09-01,code/130_build_section_106_consultation.py,CE-0014J-4B
