enterprise_id,enterprise_name,enterprise_name_normalized,name_variants_observed,owner_hub_cedar_uid,cedar_uid,owner_hub_name,owner_hub_entity_class,owner_class,owner_hub_state,parent_enterprise_id,parent_name,parent_is_hub,hierarchy_level,relationship,relation_class,relationship_as_recorded,ownership_percent_stated,sector,status,status_basis,city,state_province,address_basis,address_is_publishable,uei,cage_code,identifier_basis,uei_candidate,uei_candidate_basis,identifier_status,in_federal_contracting,in_federal_contracting_basis,identity_scope,assertion_class,evidence_class,n_source_observations,n_distinct_sources,evidence_human_reviewed,n_auto_ruled_observations,first_observed_year,last_observed_year,enterprise_existing_cedar_uid,constellation_edge_id,constellation_note,source_id,source_url,source_document,source_edition_date,hub_resolution_method,hub_resolution_note,population_basis,publishable,publishable_basis,retrieved_date,built_date,fpds_parent_corroboration,fpds_parent_corroboration_route,fpds_declared_parent_uei,fpds_declared_parent_name,fpds_declared_parent_observations,fpds_parent_resolves_to,fpds_parent_corroboration_basis,duplicate_name_variant_group,duplicate_name_variant_basis
CEDAR-NEST-005237-1A,"Bowhead Marine Support Services, Llc",bowhead marine support services,Bowhead Marine Support Services,CE-0002C-JC,CE-0002C-JC,Barrow,Federally recognized Alaska Native Village,tribal_government,AK,,Barrow,Y,1,unspecified,affiliation,unspecified,,Manufacturing,operating,named by its owner in a source dated 2026,PLANO,TX,parent's own subsidiary listing,Y,NH7ZFAMCUGX4,,UEI from the SBA Dynamic Small Business Search extract,,,external_identifier,Y,published identifier found in the FPDS universe,owner_research_dataset_named_enterprise,AFFILIATION,parent_self_published_company_list,1,1,N,2,2026,2026,,,,OWNERV6,https://www.bowhead.com/about/,"native_entity_enterprise_dataset_v6_geocoded.csv (the owner's research dataset, on this machine at ~/Desktop/dissertation/data/tribal_federal_spending/clean/) :: https://www.bowhead.com/about/",2026-04-29,source_supplied_cedar_uid,,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,2026-09-02,CONTRADICTED,rung1_published_uei,HG4NLAJJX2B3,"BOWHEAD MARINE SUPPORT SERVICES, LLC",32,CE-0009Z-7Q,"declared FPDS parent 'BOWHEAD MARINE SUPPORT SERVICES, LLC' (HG4NLAJJX2B3) observed 32x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to CE-0009Z-7Q; NEST asserts owner hub CE-0002C-JC. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
CEDAR-NEST-005781-PT,"EAGLE EYE ELECTRIC, LLC",eagle eye electric,"EAGLE EYE ELECTRIC LLC | Eagle Eye Electric, Llc",CE-0006R-ER,CE-0006R-ER,Eagle,Federally recognized Alaska Native Village,tribal_government,AK,,Eagle,Y,1,unspecified,affiliation,unspecified,,Construction,operating,named by its owner in a source dated 2026,SAN DIEGO,CA,parent's own subsidiary listing,Y,QNJ2N1JL3YU1,8CHB7,CAGE published by the parent (owner_research_dataset_resolver_output),,,external_identifier,Y,published identifier found in the FPDS universe,owner_research_dataset_named_enterprise,AFFILIATION,owner_research_dataset_resolver_output,2,1,N,5,2026,2026,,,,OWNERV6,,"native_entity_enterprise_dataset_v6_geocoded.csv (the owner's research dataset, on this machine at ~/Desktop/dissertation/data/tribal_federal_spending/clean/)",2026-04-27,source_supplied_cedar_uid,,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,2026-09-02,CONTRADICTED,rung1_published_uei,PEYNKZ1LEMC6,"EAGLE EYE ELECTRIC, LLC",20,CE-00079-SH,"declared FPDS parent 'EAGLE EYE ELECTRIC, LLC' (PEYNKZ1LEMC6) observed 20x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to CE-00079-SH; NEST asserts owner hub CE-0006R-ER. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
CEDAR-NEST-000060-DC,"Ahtna Engineering Services, LLC",ahtna engineering services,"Ahtna Engineering Services | Ahtna Engineering Services Llc | Ahtna Engineering Services, Llc",CE-00076-76,CE-00076-76,"Ahtna, Incorporated",Alaska Native Regional Corporation,alaska_native_corporation,AK,,"Ahtna, Incorporated",Y,1,wholly_owned,ownership,subsidiary | unspecified | wholly_owned,,Professional & Business Services,operating,named by its owner in a source dated 2026 and first seen 2016,SEATAC,WA,parent's own subsidiary listing,Y,NESANKRGBJF6,,UEI from the SBA Dynamic Small Business Search extract,,,external_identifier,Y,published identifier found in the FPDS universe,parent_asserted_subsidiary,OWNERSHIP,audited_annual_report_as_45_55_139,12,3,Y,5,2016,2026,,,,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),2025__Ahtna_Inc.__2025_Ahtna_Inc._Annual_Report_4-28-2026__caf1c725.txt,2025-12-31,exact_normalized_name,,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,2026-09-02,CORROBORATED,rung1_published_uei,T436FJM2DXB9,"AHTNA ENGINEERING SERVICES, LLC",117,CE-00076-76,"declared FPDS parent 'AHTNA ENGINEERING SERVICES, LLC' (T436FJM2DXB9) observed 117x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to CE-00076-76; NEST asserts owner hub CE-00076-76. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
CEDAR-NEST-000068-24,"Ahtna Government Services, Corporation",ahtna government services,Ahtna Government Services Corp | Ahtna Government Services Corporation | Ahtna Government Services Inc,CE-00076-76,CE-00076-76,"Ahtna, Incorporated",Alaska Native Regional Corporation,alaska_native_corporation,AK,CEDAR-NEST-000064-A0,"Ahtna Federal Holdings, LLC",N,2,wholly_owned,ownership,subsidiary | unspecified | wholly_owned,,"civil, marine, infrastructure, environmental and facilities construction",operating,named by its owner in a source dated 2026 and first seen 2016,ALBUQUERQUE,NM,parent's own subsidiary listing,Y,VLEMLA4TZ545,,UEI from the SBA Dynamic Small Business Search extract,,,external_identifier,Y,published identifier found in the FPDS universe,parent_asserted_subsidiary,OWNERSHIP,audited_annual_report_as_45_55_139,13,3,Y,3,2016,2026,,,,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),2025__Ahtna_Inc.__2025_Ahtna_Inc._Annual_Report_4-28-2026__caf1c725.txt,2025-12-31,exact_normalized_name,,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,2026-09-02,CORROBORATED,rung2_exact_normalised_name,HM1PS6FAK6U7,AHTNA  INCORPORATED,1040,CE-00076-76,"declared FPDS parent 'AHTNA  INCORPORATED' (HM1PS6FAK6U7) observed 1040x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to CE-00076-76; NEST asserts owner hub CE-00076-76. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
CEDAR-NEST-000146-02,ASRC Federal Data Networx,asrc federal data networx,"Asrc Federal Data Networx, Llc",CE-00078-KR,CE-00078-KR,Arctic Slope Regional Corporation,Alaska Native Regional Corporation,alaska_native_corporation,AK,CEDAR-NEST-000153-AH,"ASRC Federal Holding Company, LLC",N,2,subsidiary,ownership,subsidiary | unspecified,,"Software, Apps & Analytics , Digital Ops & IT Modernization , Professional Services",operating,named by its owner in a source dated 2026,BELTSVILLE,MD,parent's own subsidiary listing,Y,H8L4SLLMSV15,7JVR1,CAGE published by the parent (parent_self_published_company_list),,,external_identifier,Y,published identifier found in the FPDS universe,parent_asserted_subsidiary,OWNERSHIP,parent_self_published_company_list,3,3,Y,2,2026,2026,,,,shard-E,https://www.asrcfederal.com/companies/,www_asrcfederal_com_7e9a6106.html,,source_supplied_cedar_uid,,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,2026-09-02,CORROBORATED,rung1_published_uei,CY16XXPHX213,ARCTIC SLOPE REGIONAL CORPORATION,51,CE-00078-KR,"declared FPDS parent 'ARCTIC SLOPE REGIONAL CORPORATION' (CY16XXPHX213) observed 51x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to CE-00078-KR; NEST asserts owner hub CE-00078-KR. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
CEDAR-NEST-000445-F5,"Tunista Services, LLC",tunista services,"Tunista Services, Llc",CE-0007B-53,CE-0007B-53,Calista Corporation,Alaska Native Regional Corporation,alaska_native_corporation,AK,,Calista Corporation,Y,1,wholly_owned,ownership,operating company | subsidiary | unspecified | wholly_owned,,"Aerospace, Aviation & Defense, Facility Support Services",operating,named by its owner in a source dated 2026 and first seen 2016,ANCHORAGE,AK,parent's own subsidiary listing,Y,MUBLKMZPR8R5,,UEI from the SBA Dynamic Small Business Search extract,,,external_identifier,Y,published identifier found in the FPDS universe,parent_asserted_subsidiary,OWNERSHIP,audited_annual_report_as_45_55_139,7,4,Y,1,2016,2026,,,,AS45.55.139,https://portal.akdbsstar.us/StarWebPortal/  (AS 45.55.139 filing),2020__Calista_Corporation__2020_Calista_Annual_Report_5-21-21__b0419760.txt,2020-12-31,exact_normalized_name,,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,2026-09-02,PARENT_UNRESOLVED,rung1_published_uei,JM61NJRD58C8,CALISTA CORPORATION,1267,,"declared FPDS parent 'CALISTA CORPORATION' (JM61NJRD58C8) observed 1267x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to (no Cedar entity); NEST asserts owner hub CE-0007B-53. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",NESTDUP-0017,"2 enterprises under owner hub CE-0007B-53 share the parenthetical-stripped normalised name 'TUNISTA SERVICES'; the variant is acronym_like. NEST clusters on (owner hub, normalised name) and a trailing parenthetical survives normalisation, so a restatement of a firm already held became a second row instead of raising the first row's source count. FLAGGED, NOT MERGED - a CEDAR-NEST id is never retired as a side effect."
CEDAR-NEST-006070-93,TYONEK GLOBAL SERVICES LLC,tyonek global services,"Tyonek Global Services, Llc",CE-000CW-4W,CE-000CW-4W,The Tyonek Native Corporation,Alaska Native Village Corporation,alaska_native_corporation,AK,,The Tyonek Native Corporation,Y,1,unspecified,affiliation,unspecified,,Professional & Business Services,operating,named by its owner in a source dated 2026,WARNER ROBINS,GA,parent's own subsidiary listing,Y,LKADJDVN4B98,880X5,CAGE published by the parent (owner_research_dataset_resolver_output),,,external_identifier,Y,published identifier found in the FPDS universe,owner_research_dataset_named_enterprise,AFFILIATION,owner_research_dataset_resolver_output,2,1,N,5,2026,2026,,,,OWNERV6,,"native_entity_enterprise_dataset_v6_geocoded.csv (the owner's research dataset, on this machine at ~/Desktop/dissertation/data/tribal_federal_spending/clean/)",2026-04-27,ancsa_brand_repointed_to_named_corporation,"REPOINTED from CE-0006K-GV (Tyonek, a GOVERNMENT of class 'Federally recognized Alaska Native Village') to CE-000CW-4W (The Tyonek Native Corporation): the enterprise name begins with that ANCSA corporation's full distinctive name 'tyonek'. ANCSA_OWNERSHIP_RULING rules 2 and 3 - a government never owns an ANC, and direct government ownership is an exception that must be evidenced, which no source on this row does",cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,2026-09-02,CORROBORATED,rung2_exact_normalised_name,FM96SF3VF8H9,TYONEK NATIVE CORPORATION,344,CE-000CW-4W,"declared FPDS parent 'TYONEK NATIVE CORPORATION' (FM96SF3VF8H9) observed 344x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to CE-000CW-4W; NEST asserts owner hub CE-000CW-4W. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
CEDAR-NEST-006081-G6,TYONEK WORLDWIDE SERVICES INC,tyonek worldwide services,"Tyonek Worldwide Services, Inc",CE-000CW-4W,CE-000CW-4W,The Tyonek Native Corporation,Alaska Native Village Corporation,alaska_native_corporation,AK,,The Tyonek Native Corporation,Y,1,unspecified,affiliation,unspecified,,Professional & Business Services,operating,named by its owner in a source dated 2026,KILN,MS,parent's own subsidiary listing,Y,H8ZTFJ6AJ3F8,87PU5,CAGE published by the parent (owner_research_dataset_resolver_output),,,external_identifier,Y,published identifier found in the FPDS universe,owner_research_dataset_named_enterprise,AFFILIATION,owner_research_dataset_resolver_output,2,1,N,4,2026,2026,,,,OWNERV6,,"native_entity_enterprise_dataset_v6_geocoded.csv (the owner's research dataset, on this machine at ~/Desktop/dissertation/data/tribal_federal_spending/clean/)",2026-04-27,ancsa_brand_repointed_to_named_corporation,"REPOINTED from CE-0006K-GV (Tyonek, a GOVERNMENT of class 'Federally recognized Alaska Native Village') to CE-000CW-4W (The Tyonek Native Corporation): the enterprise name begins with that ANCSA corporation's full distinctive name 'tyonek'. ANCSA_OWNERSHIP_RULING rules 2 and 3 - a government never owns an ANC, and direct government ownership is an exception that must be evidenced, which no source on this row does",cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,2026-09-02,CORROBORATED,rung2_exact_normalised_name,FM96SF3VF8H9,TYONEK NATIVE CORPORATION,224,CE-000CW-4W,"declared FPDS parent 'TYONEK NATIVE CORPORATION' (FM96SF3VF8H9) observed 224x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to CE-000CW-4W; NEST asserts owner hub CE-000CW-4W. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
CEDAR-NEST-001243-4C,Cherokee Nation Red Wing,cherokee nation red wing,"CHEROKEE NATION RED WING, LLC | Cherokee Nation Red Wing Llc",CE-00134-BX,CE-00134-BX,Cherokee Nation,Federally recognized tribe,tribal_government,OK,,Cherokee Nation,Y,1,subsidiary,ownership,subsidiary | unspecified,,Manufacturing,operating,named by its owner in a source dated 2026,CATOOSA,OK,parent's own subsidiary listing,Y,YPEKDDVELY65,7XME1,CAGE published by the parent (parent_self_published_company_list),,,external_identifier,Y,published identifier found in the FPDS universe,parent_asserted_subsidiary,OWNERSHIP,parent_self_published_company_list,4,2,Y,2,2026,2026,,,,ANC_TRIBE_LOOKUP,https://cherokeenationbusinesses.com/company/federal/,,2026-04-29,source_supplied_handle,,cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,2026-09-02,CORROBORATED,rung1_published_uei,TBAHL1WANLF3,CHEROKEE NATION,24,CE-00134-BX,"declared FPDS parent 'CHEROKEE NATION' (TBAHL1WANLF3) observed 24x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to CE-00134-BX; NEST asserts owner hub CE-00134-BX. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",NESTDUP-0050,"2 enterprises under owner hub CE-00134-BX share the parenthetical-stripped normalised name 'CHEROKEE NATION RED WING'; the variant is unknown. NEST clusters on (owner hub, normalised name) and a trailing parenthetical survives normalisation, so a restatement of a firm already held became a second row instead of raising the first row's source count. FLAGGED, NOT MERGED - a CEDAR-NEST id is never retired as a side effect."
CEDAR-NEST-003671-GT,Oglala Lakota College,oglala lakota college,OGLALA LAKOTA COLLEGE,CE-0017T-33,CE-0017T-33,Oglala Sioux,Federally recognized tribe,tribal_government,SD,,Oglala Sioux,Y,1,unspecified,affiliation,unspecified,,Education & Health Services,operating,named by its owner in a source dated 2026,KYLE,SD,parent's own subsidiary listing,Y,KENVLT56V343,,UEI from the SBA Dynamic Small Business Search extract,,,external_identifier,Y,published identifier found in the FPDS universe,owner_research_dataset_named_enterprise,AFFILIATION,parent_self_published_company_list,2,1,N,3,2026,2026,CE-0010Z-YG,CONST-C8BA3D24EEE8,"the service constellation records a relationship between this firm and this hub; cedar_constellation_edges.csv is SERVICE (who serves whom), NEST is OWNERSHIP AND CORPORATE AFFILIATION - the two corroborate, they do not duplicate",OWNERV6,,"native_entity_enterprise_dataset_v6_geocoded.csv (the owner's research dataset, on this machine at ~/Desktop/dissertation/data/tribal_federal_spending/clean/)",2026-05-01,source_supplied_cedar_uid,this enterprise is already a Cedar entity: CE-0010Z-YG (Tribal College or University),cedar_spine_native_entities_publishing_ownership,Y,harmonized_publication_per_PUBLICATION_POLICY,2026-09-02,2026-09-02,PARENT_UNRESOLVED,rung1_published_uei,M5BUCJV8PW74,OGLALA LAKOTA COLLEGE,172,,"declared FPDS parent 'OGLALA LAKOTA COLLEGE' (M5BUCJV8PW74) observed 172x, at or above the 20-observation ownership floor; resolved through cedar_identifier_ledger_final.csv to (no Cedar entity); NEST asserts owner hub CE-0017T-33. The FPDS declaration is made by the CHILD about itself and is independent of both the parent's audited filing and the parent's own website.",,
