tribe_id,canonical_name,entity_class,state,funding,federal-register,legislation,deals,nagpra,lobbying,contractors,subcontracting,native-owned-businesses,natural-resources,nonprofits,gaming,collections_present,total_rows
TRBF-RNOSPK-00,Reno-Sparks,Federally recognized tribe,NV,446,16,0,0,69,39,0,1,0,0,15,19,7,605
SGVF-ASVCPR-00,Association of Village Council Presidents,Federal-level self-governance consortium,AK,426,0,0,0,0,7,111,46,0,0,12,0,5,602
TRBF-SOKGON-00,Sokaogon,Federally recognized tribe,WI,115,69,0,5,269,2,0,0,0,0,24,115,7,599
TRBF-YOCHAD-00,Yocha Dehe,Federally recognized tribe,CA,20,10,0,0,87,378,13,1,0,0,4,85,8,598
CNSF-MINNCH-GP,Grand Portage,Federal-level constituency entity,MN,395,24,0,0,0,11,4,1,0,0,11,149,7,595
TRBF-TABLEM-00,Table Mountain,Federally recognized tribe,CA,122,37,0,3,178,115,4,0,0,0,10,125,8,594
TRBF-YRNGTN-00,Yerington,Federally recognized tribe,NV,415,16,0,0,60,2,64,3,0,0,14,14,8,588
AKNF-YKTTLN-00-SEALSK-TLNGHD,Yakutat,Federally recognized Alaska Native Village,AK,458,5,0,4,14,63,4,1,0,0,27,0,8,576
TRBF-IONEBD-00,Ione,Federally recognized tribe,CA,107,37,0,0,241,148,0,0,0,0,8,32,6,573
TRBF-NORFRK-00,North Fork,Federally recognized tribe,CA,224,48,0,7,70,31,55,0,0,0,22,113,8,570
ANVC-TWNHLL-00,Twin Hills Native Corporation,Alaska Native Village Corporation,AK,2,1,0,0,0,0,554,0,0,0,0,0,3,557
TRBF-PRSCTT-00,Yavapai-Prescott,Federally recognized tribe,AZ,160,35,2,0,89,2,81,0,0,0,12,175,8,556
TRBF-HBMTLL-00,Habematolel,Federally recognized tribe,CA,139,4,0,6,15,4,0,0,0,0,13,374,7,555
TRBF-SROSAB-00,Santa Rosa of Cahuilla,Federally recognized tribe,CA,79,10,0,4,64,2,372,0,0,0,8,1,8,540
TRBS-LWRMSE-00,Lower Muskogee Creek Tribe,State-recognized tribe,GA,6,0,0,0,1,1,524,1,0,0,0,0,5,533
TRBF-SMMTLK-00,Summit Lake,Federally recognized tribe,NV,199,5,0,0,46,3,251,1,0,0,19,0,7,524
AKNF-WAINWT-00-ARCSLO,Wainwright,Federally recognized Alaska Native Village,AK,29,13,2,0,3,33,437,1,0,0,2,0,8,520
TRBF-LJOLLA-00,La Jolla,Federally recognized tribe,CA,264,14,0,9,93,3,0,1,0,0,13,122,8,519
TRBF-LPOSTA-00,La Posta,Federally recognized tribe,CA,129,18,0,7,169,2,0,0,0,0,12,167,7,504
AKNF-NENANA-00-DOYONL-TNNACH,Nenana,Federally recognized Alaska Native Village,AK,44,5,0,3,4,0,439,1,0,0,6,0,7,502
TRBF-CFTGSH-00,Confederated Goshute,Federally recognized tribe,UT,313,8,0,0,53,4,113,1,0,0,8,0,7,500
TRBS-HRRNGP-00,Herring Pond Wampanoag Tribe,State-recognized tribe,MA,0,0,0,0,0,0,498,0,0,0,2,0,2,500
AKNF-PNTHPE-00-ARCSLO-MANLLQ,Point Hope IRA,Federally recognized Alaska Native Village,AK,173,2,0,0,16,0,290,1,0,0,14,0,6,496
NHO-HOOMAK-00,Ho'omaka Foundation,Native Hawaiian Organization,HI,0,0,0,0,0,0,492,0,0,0,0,0,1,492
AKNF-NVEYAK-00-CHGCCO-CHGCMT,Eyak,Federally recognized Alaska Native Village,AK,373,21,0,0,18,0,72,5,0,0,0,0,5,489
TRBF-FTINDP-00,Fort Independence,Federally recognized tribe,CA,133,5,0,6,70,21,0,0,0,0,13,240,7,488
TRBF-WILTON-00,Wilton,Federally recognized tribe,CA,112,26,0,3,247,16,0,0,0,0,11,73,7,488
TRBF-ROBNSN-00,Robinson,Federally recognized tribe,CA,187,24,0,0,27,34,127,1,0,0,11,75,8,486
TRBF-PNOLVL-00,Pinoleville,Federally recognized tribe,CA,342,6,0,4,29,2,0,1,0,0,12,81,8,477
