fiscal_year,agency,rows,obligated_usd,duns_rows,duns_pct,uei_rows,uei_pct,fain_pct,tribal_flagged_rows,tribal_flagged_usd,tribal_duns_rows,tribal_duns_pct
2001,Department of Agriculture,75609,98233935361.0,0,0.0,0,0.0,100.0,1193,126274886.0,0,0.0
2001,Department of Commerce,2985,1544486106.0,0,0.0,0,0.0,100.0,113,33373022.0,0,0.0
2001,Department of Education,34108,15480161370.0,0,0.0,0,0.0,100.0,187,25252633.0,0,0.0
2001,Department of Energy,5350,1593702014.0,0,0.0,0,0.0,100.0,32,6675511.0,0,0.0
2001,Department of Health and Human Services,38111,16169030377.0,0,0.0,0,0.0,100.0,2361,372047295.0,0,0.0
2001,Department of Housing and Urban Development,64292,27626470440.0,0,0.0,0,0.0,100.0,266,18385326.0,0,0.0
2001,Department of Justice,11517,5100880374.0,0,0.0,0,0.0,100.0,439,97838209.0,0,0.0
2001,Department of Labor,995,506023267.0,0,0.0,0,0.0,100.0,45,6642328.0,0,0.0
2001,Department of Transportation,68810,37126927682.0,1,0.0015,1,0.0015,100.0,20,7790177.0,0,0.0
2001,Department of the Interior,6951,1019552142.0,0,0.0,0,0.0,100.0,1219,314272203.0,0,0.0
2001,Environmental Protection Agency,7278,4065370307.0,0,0.0,0,0.0,100.0,905,95817806.0,0,0.0
2002,Department of Agriculture,83010,106773886053.0,0,0.0,0,0.0,100.0,927,124008257.0,0,0.0
2002,Department of Commerce,3074,1582856885.0,0,0.0,0,0.0,100.0,87,30110749.0,0,0.0
2002,Department of Education,41932,17492578055.0,0,0.0,0,0.0,100.0,192,24058495.0,0,0.0
2002,Department of Energy,5870,1866255789.0,0,0.0,0,0.0,100.0,57,13055920.0,0,0.0
2002,Department of Health and Human Services,72497,33365915006.0,0,0.0,0,0.0,100.0,1955,544865987.0,0,0.0
2002,Department of Housing and Urban Development,8026,470295591.0,0,0.0,0,0.0,100.0,176,14870138.0,0,0.0
2002,Department of Justice,16141,3866352751.0,0,0.0,0,0.0,100.0,387,105609232.0,0,0.0
2002,Department of Labor,3195,4426100074.0,0,0.0,0,0.0,100.0,301,38804739.0,0,0.0
2002,Department of Transportation,72996,38045207002.0,3,0.0041,2,0.0027,100.0,3,2572897.0,0,0.0
2002,Department of the Interior,6842,998815081.0,0,0.0,0,0.0,100.0,1176,337337611.0,0,0.0
2002,Environmental Protection Agency,7707,4241932326.0,0,0.0,0,0.0,100.0,834,79261473.0,0,0.0
2003,Department of Agriculture,83132,98757368707.0,1,0.0012,0,0.0,100.0,932,120959775.0,0,0.0
2003,Department of Commerce,3093,1550743549.0,0,0.0,0,0.0,100.0,85,17639320.0,0,0.0
2003,Department of Education,36399,19614708364.0,0,0.0,0,0.0,100.0,79,5877437.0,0,0.0
2003,Department of Energy,6292,1673720097.0,0,0.0,0,0.0,100.0,80,12380402.0,0,0.0
2003,Department of Health and Human Services,78411,42023218881.0,0,0.0,0,0.0,100.0,3480,303295571.0,0,0.0
2003,Department of Housing and Urban Development,15170,779186085.0,0,0.0,0,0.0,100.0,477,43927419.0,0,0.0
2003,Department of Justice,17629,4755050884.0,1,0.0057,1,0.0057,100.0,550,77812757.0,1,0.1818
2003,Department of Labor,2729,4342626113.0,0,0.0,0,0.0,100.0,254,54800735.0,0,0.0
2003,Department of Transportation,76401,37037017188.0,4,0.0052,3,0.0039,100.0,20,12121066.0,0,0.0
2003,Department of the Interior,8180,951662259.0,0,0.0,0,0.0,100.0,739,140481973.0,0,0.0
2003,Environmental Protection Agency,6770,3878760718.0,0,0.0,0,0.0,100.0,1047,110380170.0,0,0.0
2004,Department of Agriculture,81886,118964068334.0,0,0.0,0,0.0,100.0,708,153237872.0,0,0.0
2004,Department of Commerce,3079,1569360393.0,0,0.0,0,0.0,100.0,75,16980949.0,0,0.0
2004,Department of Education,30849,20929644637.0,0,0.0,0,0.0,100.0,116,7577289.0,0,0.0
2004,Department of Energy,6049,2051305289.0,0,0.0,0,0.0,100.0,55,15836454.0,0,0.0
2004,Department of Health and Human Services,66921,29710410858.0,0,0.0,0,0.0,100.0,1842,248749893.0,0,0.0
2004,Department of Housing and Urban Development,21762,1179274080.0,0,0.0,0,0.0,100.0,967,119578423.0,0,0.0
2004,Department of Justice,14416,4373237146.0,1,0.0069,1,0.0069,100.0,406,54100363.0,1,0.2463
2004,Department of Labor,2658,4263125776.0,0,0.0,0,0.0,100.0,258,106269674.0,0,0.0
2004,Department of Transportation,73094,44508516111.0,8,0.0109,7,0.0096,100.0,13,5599136.0,0,0.0
2004,Department of the Interior,10703,1698119308.0,0,0.0,0,0.0,100.0,1138,260335525.0,0,0.0
2004,Environmental Protection Agency,7126,4115338576.0,0,0.0,0,0.0,100.0,1182,128904419.0,0,0.0
2005,Department of Agriculture,79426,115599955059.9,0,0.0,0,0.0,100.0,654,120047058.0,0,0.0
2005,Department of Commerce,3459,1700764695.0,0,0.0,0,0.0,100.0,84,23463001.0,0,0.0
2005,Department of Education,28995,19819957224.0,0,0.0,0,0.0,100.0,241,53702320.0,0,0.0
2005,Department of Energy,6367,2198850950.0,0,0.0,0,0.0,100.0,76,14038906.0,0,0.0
2005,Department of Health and Human Services,69899,32487578893.0,2,0.0029,2,0.0029,100.0,1796,261069328.0,0,0.0
2005,Department of Housing and Urban Development,30565,1681149506.0,0,0.0,0,0.0,100.0,1040,148867993.0,0,0.0
2005,Department of Justice,15315,3291728744.0,0,0.0,0,0.0,100.0,479,56502438.0,0,0.0
2005,Department of Labor,2489,4259353973.0,0,0.0,0,0.0,100.0,258,40996752.0,0,0.0
2005,Department of Transportation,74905,39974216335.0,5,0.0067,2,0.0027,100.0,12,4008760.0,0,0.0
2005,Department of the Interior,9088,1877503665.0,0,0.0,0,0.0,100.0,1145,250286178.0,0,0.0
2005,Environmental Protection Agency,6702,3971705999.0,0,0.0,0,0.0,100.0,1082,132349631.0,0,0.0
2006,Department of Agriculture,63459,77541656017.93,1,0.0016,1,0.0016,100.0,682,137637810.0,0,0.0
2006,Department of Commerce,3371,1809077088.0,0,0.0,0,0.0,100.0,76,16564870.0,0,0.0
2006,Department of Education,50197,35027234192.0,0,0.0,0,0.0,100.0,317,55909521.0,0,0.0
2006,Department of Energy,5629,2131631367.0,0,0.0,0,0.0,100.0,63,12091553.0,0,0.0
2006,Department of Health and Human Services,65296,33419655793.0,25,0.0383,21,0.0322,100.0,1675,411591378.0,0,0.0
2006,Department of Housing and Urban Development,80126,38539716262.0,1,0.0012,1,0.0012,100.0,482,567363114.0,0,0.0
2006,Department of Justice,9074,5029476716.0,4,0.0441,4,0.0441,100.0,493,63818145.0,0,0.0
2006,Department of Labor,2512,4154189389.0,0,0.0,0,0.0,100.0,249,56998535.0,0,0.0
2006,Department of Transportation,82719,55267798993.0,8,0.0097,8,0.0097,100.0,30,14568642.0,0,0.0
2006,Department of the Interior,9235,1336575790.0,0,0.0,0,0.0,100.0,1388,334707740.0,0,0.0
2006,Environmental Protection Agency,6120,3836640518.0,0,0.0,0,0.0,100.0,957,121378872.0,0,0.0
2007,Department of Agriculture,67615,11851338601.83,66277,98.0211,32152,47.5516,100.0,1652,109614067.0,1622,98.184
2007,Department of Commerce,2524,1245827562.0,2523,99.9604,2397,94.9683,100.0,79,19425049.0,79,100.0
2007,Department of Education,344401,49352405589.0,344401,100.0,329726,95.739,100.0,1480,66170080.0,1480,100.0
2007,Department of Energy,5765,2178184359.0,5765,100.0,5110,88.6383,100.0,83,9434566.0,83,100.0
2007,Department of Health and Human Services,74163,259159338966.0,73921,99.6737,56676,76.4209,100.0,1,56140.0,1,100.0
2007,Department of Housing and Urban Development,171554,78119709508.0,171554,100.0,167197,97.4603,100.0,21,14694350.0,21,100.0
2007,Department of Justice,4470,2453253571.0,4300,96.1969,3937,88.0761,100.0,245,65233169.0,241,98.3673
2007,Department of Labor,3085,5872236179.0,3085,100.0,2842,92.1232,100.0,207,54282558.0,207,100.0
2007,Department of Transportation,86921,59959430985.0,651,0.749,572,0.6581,100.0,59,25724135.0,0,0.0
2007,Department of the Interior,9662,1466244955.0,1,0.0103,1,0.0103,100.0,841,-20688089.0,0,0.0
2007,Environmental Protection Agency,4595,3701732856.0,4492,97.7584,3989,86.8118,100.0,977,133036080.0,956,97.8506
